LEXEME	REPLACEMENT	COMMENT
tu4	tu	
˩˨ ēṫ’ā̃	ē˩˨t’ā̃	
˨ rà = mɯ̃	rà˨=mɯ̃	
s̄ir	sāir
s̄n-pā cha-rā	sēn-pā cha-rā
ps̄nī	pānī
˨˧ wu	wu˨˧	swap tones
˩˨ ṅ	ṅ˩˨	swap tones
˧˨ hā	hā˧˨	swap tones
˨ nàm	nàm˨	swap tones
˨ yai	yai˨	swap tones
˧˨ yä	yä˧˨	swap tones
˧ chi	chi˧	swap tones
˧ ṅa	ṅa˧	swap tones
˨ ṅwà	ṅwà˨	swap tones
˨˩ ṅā	ṅā˨˩	swap tones
˨ lo°	lo°˨	swap tones
˨˩ luk	luk˨˩	swap tones
˨ hok	hok˨	swap tones
˦ hōk	hōk˦	swap tones
˦˥ šau	šau˦˥	swap tones
˨ ꭓū	ꭓū˨	swap tones
˧ ꭓü	ꭓü˧	swap tones
˧ trö̌ü	trö̌ü˧	swap tones
˨˧ k’u	k’u˨˧	swap tones
˨˧ ch’u	ch’u˨˧	swap tones
˨˧ ch’o	ch’o˨˧	swap tones
˨ ch’å°	ch’å°˨	swap tones
˨ ch’i°	ch’i°˨	swap tones
˦ ts’at	ts’at˦	swap tones
˨ chet	chet˨	swap tones
˧ sit	sit˧	swap tones
˨˧ bày	bày˨˧	swap tones
˨ nwī	nwī˨	swap tones
˧ nwī	nwī˧	swap tones
˧ šyaṅ	šyaṅ˧	swap tones
˨˧ ñi	ñi˨˧	swap tones
˨˧ šia	šia˨˧	swap tones
˨˧ še	še˨˧	swap tones
˨ ši	ši˨	swap tones
˨ pā°	pā°˨	swap tones
˥˦ pat	pat˥˦	swap tones
˨ pät	pät˨	swap tones
˨ pit	pit˨	swap tones
˦˥ tìm	tìm˦˥	swap tones
˧ ꭓō	ꭓō˧	swap tones
˩˨ yi	yi˩˨	swap tones
˨˧ hē	hē˨˧	swap tones
˨˧ ih	ih˨˧	swap tones
˨˧ hä	hä˨˧	swap tones
˨ hī̃°	hī̃°˨	swap tones
˨˧ chīu	chīu˨˧	swap tones
˦˥ kau	kau˦˥	swap tones
˧˨ kau	kau˧˨	swap tones
˦˥ chin	chin˦˥	swap tones
˨ k’wī	k’wī˨	swap tones
˧ k’wī	k’wī˧	swap tones
˧ ˧˨ chywa	chywa˧˧˨	swap tones
˨˩ dua	dua˨˩	swap tones
˧ ke	ke˧	swap tones
˧˨ kö	kö˧˨	swap tones
˧ kū	kū˧	swap tones
˨˩ kui	kui˨˩	swap tones
˨˩ ko	ko˨˩	swap tones
˨ yi°	yi°˨	swap tones
˦ yat	yat˦	swap tones
˨ hnụṅ	hnụṅ˨	swap tones
˨ nụṅ	nụṅ˨	swap tones
˧˨ nụṅ	nụṅ˧˨	swap tones
˨ mōt	mōt˨	swap tones
˧ ka	ka˧	swap tones
˨ löṅ	löṅ˨	swap tones
˨ ta	ta˨	swap tones
˨ tö	tö˨	swap tones
˧ i	i˧	swap tones
˨ yet	yet˨	swap tones
˨˧ t’i	t’i˨˧	swap tones
˩ t’ī	t’ī˩	swap tones
˧ nu	nu˧	swap tones
˨ sza°	sza°˨	swap tones
˨˩ šap	šap˨˩	swap tones
˨ sip	sip˨	swap tones
˧ s’ip	s’ip˧	swap tones
˨˩ müöi	müöi˨˩	swap tones
˨ t’ȫp	t’ȫp˨	swap tones
˧ ka ˨ s’ī	ka˧s’ī˨	swap tones
˧ ta ˧ s’ī	ta˧s’ī˧	swap tones
˩˨ kö̌ü	kö̌ü˩˨	swap tones
˨ ṯs̱iep	ṯs̱iep˨	swap tones
˧˨ ṯs̱’ē	ṯs̱’ē˧˨	swap tones
˧˨ ṯs̱’ö	ṯs̱’ö˧˨	swap tones
˧˨ ṅa	ṅa˧˨	swap tones
˨˧ lyaṅ	lyaṅ˨˧	swap tones
˨˩ yī	yī˨˩	swap tones
˩˨ löṅ	löṅ˩˨	swap tones
˨˧ såṅ	såṅ˨˧	swap tones
˨˧ s’åṅ	s’åṅ˨˧	swap tones
˨ hai	hai˨	swap tones
˨ nī	nī˨	swap tones
˧ k’ī	k’ī˧	swap tones
˦ āǒ	āǒ˦	swap tones
˨ ñi	ñi˨	swap tones
ka ˨ leṅ	kaleṅ˨	swap tones
˧ sān	sān˧	swap tones
˧ sām	sām˧	swap tones
˨˧ sām	sām˨˧	swap tones
˨˧ s’àm	s’àm˨˧	swap tones
˨ bà	bà˨	swap tones
˨ θöṅ	θöṅ˨	swap tones
˧ θö	θö˧	swap tones
˧ pē	pē˧	swap tones
˦ sõ	sõ˦	swap tones
˧˨ sö	sö˧˨	swap tones
˧˨ so	so˧˨	swap tones
˨ sà	sà˨	swap tones
˨˩ sum	sum˨˩	swap tones
˥˦ θoun	θoun˥˦	swap tones
˥˦ θōn ku	kuθōn˥˦	swap tones
˧˨ sza	sza˧˨	swap tones
˥˦ sz	sz˥˦	swap tones
˨ sā	sā˨	swap tones
˨ s’ī	s’ī˨	swap tones
˦˥ bōn	bōn˦˥	swap tones
˨ li	li˨	swap tones
˧˨ lwī	lwī˧˨	swap tones
˧ plöǚ	plöǚ˧	swap tones
˧ šle	šle˧	swap tones
˨˧ li	li˨˧	swap tones
˨ lī	lī˨	swap tones
˨˩ lē	lē˨˩	swap tones
˨˩ le	le˨˩	swap tones
˦˨ fu	fu˦˨	swap tones
˨˩ fū	fū˨˩	swap tones
˦˨ bå	bå˦˨	swap tones
˦˨ p’å	p’å˦˨	swap tones
˦˨ på	på˦˨	swap tones
˧ chà	chà˧	swap tones
˧ p’ā	p’ā˧	swap tones
˦˨ pā	pā˦˨	swap tones
˦˥ ṯs̱i	ṯs̱i˦˥	swap tones
˦˥ fa	fa˦˥	swap tones
˦˥ a ˦˥ tia	a˦˥tia˦˥	swap tones
˦˨ a ˨˦ ba	a˦˨ba˨˦	swap tones
˨ aba°	aba°˨	swap tones
˨ imba°	imba°˨	swap tones
˦ abo°	abo°˦	swap tones
˨ à ˨ bà	à˨bà˨	swap tones
˨˦ bà ˨ bà	bà˨˦bà˨	swap tones
˨ p’à	p’à˨	swap tones
a ˧ wā	awā˧	swap tones
a ˧ p’e	ap’e˧	swap tones
˦˨ (P.)	˦˨	swap tones
˨˩ fū ˦ chi (P.)	fū˨˩chi˦	swap tones
˨˦ k’åṅ ˦˨ bå (F.)	k’åṅ˨˦bå˦˨	swap tones
˨˦ k’åṅ ˦˨ p’å (F.)	k’åṅ˨˦p’å˦˨	swap tones
˦˨ på (F.)	på˦˨	swap tones
˧ chà (F.)	chà˧	swap tones
˧ p’ā ˧ a (P.)	p’ā˧a˧	swap tones
˦˨ pā ˧ a (P.)	pā˦˨a˧	swap tones
˦˥ ṯs̱i (P.)	ṯs̱i˦˥	swap tones
˨˦ chāy ˦˥ ua ˨˩ tao ˨˩ mōn ˨˦ chʸàṅ (of a man)	chāy˨˦ua˦˥tao˨˩mōn˨˩chʸàṅ˨˦	swap tones
˨˩ te ˨˩ miēn ˨˦ chʸàṅ (of a man)	te˨˩miēn˨˩chʸàṅ˨˦	swap tones
˦˨ a ˨˦ ba (˦ ṅa) (P.)	a˦˨ba˨˦	swap tones
˨ aba° (dyi° or ˦˨ vi) (P.)	aba°˨	swap tones
˦ abo° (P.)	abo°˦	swap tones
˨ à ˨ bà (˦ yī) (P.)	à˨bà˨	swap tones
a ˧ wā (P.)	awā˧	swap tones
a ˥˦ pe° (P.)	ape°˥˦	swap tones
˦˨ fu (case known from context)	fu˦˨	swap tones
˥˦ kwå ˨˩ fū (preceded by a verb)	kwå˥˦fū˨˩	swap tones
˨ kā ˦˨ bå	kā˨bå˦˨	swap tones
˨ kā ˦˨ p’å	kā˨p’å˦˨	swap tones
˦˨ tī ˦˨ på	tī˦˨på˦˨	swap tones
˨˩ kuṅ ˧ chà	kuṅ˨˩chà˧	swap tones
˧ lō (or ˨˦ sō) ˧ p’à	lō˧p’à˧	swap tones
˧ lō (or ˧ s’ū) ˦˨ pā	lō˧pā˦˨	swap tones
˦ trö̌ü ˦˥ ṯs̱i	trö̌ü˦ṯs̱i˦˥	swap tones
˨ tō ˦˥ pun ˨˩ mōn (to a man)	tō˨pun˦˥mōn˨˩	swap tones
˨˦ chʸō ˨˩ mun ˨˩ miēn (to a man)	chʸō˨˦mun˨˩miēn˨˩	swap tones
˨ aba° (˦˨ ju)	aba°˨	swap tones
˨ à ˨ bà ˦ tǎ	à˨bà˨tǎ˦	swap tones
a ˧ wā ˨ bā	awā˧bā˨	swap tones
a ˧ p’e ˧ go	ap’e˧go˧	swap tones
˨ yau ˨˩ fū	yau˨fū˨˩	swap tones
˨ tä ˦˨ bå	tä˨bå˦˨	swap tones
˨ tä ˦˨ p’å	tä˨p’å˦˨	swap tones
˦˨ kā ˦˨ på	kā˦˨på˦˨	swap tones
˧ chà ˨˦ biēu	chà˧biēu˨˦	swap tones
˧ lö ˧ p’ā	lö˧p’ā˧	swap tones
˧ lö ˦˨ pā	lö˧pā˦˨	swap tones
˦˥ ṯs̱i (case indicateed by context)	ṯs̱i˦˥	swap tones
˨˩ a ˨˩ tao ˨˩ mōn ton (from a man)	a˨˩tao˨˩tonmōn˨˩	swap tones
˨ yēt ˨˩ tao ˨˩ miēn (from a man)	yēt˨tao˨˩miēn˨˩	swap tones
˦˨ a ˨˦ ba ˦˨ ka	a˦˨ba˨˦ka˦˨	swap tones
˨ aba° mu°	mu°aba°˨	swap tones
˨ à ˨ bà ˧ kwà ˧ bye	à˨bà˨kwà˧bye˧	swap tones
a ˧ wā ˨˩ beṅ (or häᵏ)	awā˧beṅ˨˩	swap tones
a ˧ p’e ˥˦ gà°	ap’e˧gà°˥˦	swap tones
˨˦ lyaṅ ˦˨ fu	lyaṅ˨˦fu˦˨	swap tones
˩˨ löṅ ˨˩ wai ˨˩ fū	löṅ˩˨wai˨˩fū˨˩	swap tones
˦˨ bå ˨˦ såṅ ˧ gon	bå˦˨såṅ˨˦gon˧	swap tones
˦˨ p’å ˨˦ såṅ ˧ k’on	p’å˦˨såṅ˨˦k’on˧	swap tones
˦˨ på ˨˦ s’ån ˥˦ kā	på˦˨s’ån˨˦kā˥˦	swap tones
˧ hai ˧ chà	hai˧chà˧	swap tones
˧ p’ā ˨ nī ˨˦ ɣa	p’ā˧nī˨ɣa˨˦	swap tones
