NameInSource	Name	Order	FamilyInSource	SubGroup	NumberInSource	ISO639P3code	Glottocode
Japanese	JAPANESE	1				jpn	nucl1643
Ainu	AINU	2					sakh1245
Korean	KOREAN	3				kor	kore1280
Turkī	TURKI	4				tur	nucl1301
Manchu	MANCHU	5				mnc	manc1252
Mongolian	MONGOLIAN	6				mon	mong1331
Sakupà	SAKUPA	7					
Saukpà	SAKUPA	8					
Basque	BASQUE	9				eus	basq1248
Burušaskī	BURUSHASKI	10			850.	bsk	buru1296
Malay	MALAY	11	Austronesian		2.	mbf	baba1267
Cham	CHAM	12	Austronesian				cham1328
Salôn	SALON	13	Austronesian		1.	mwt	moke1242
K’mēr	KHMER	14	Austro-Asiatic	Mon-Khmer		khm	cent1989
Talaing, written	TALAING_WRITTEN	15	Austro-Asiatic	Mon-Khmer	3.	mnw	monn1252
Talaing, spoken	TALAING_SPOKEN	16	Austro-Asiatic	Mon-Khmer			monn1252
Sakai	SAKAI	17	Austro-Asiatic	Sakai-Semang			seno1278
Sěmang	SEMANG	18	Austro-Asiatic	Sakai-Semang			nort2682
Palaung	PALAUNG	19	Austro-Asiatic	Palaung-Wa	4.	rbb	ruma1248
Katuṟṟ	KATURR	20	Austro-Asiatic	Palaung-Wa			
Darāng	DARANG	21	Austro-Asiatic	Palaung-Wa		pce	ruch1235
Wa	WA	22	Austro-Asiatic	Palaung-Wa	5.	wbm	nucl1290
Sǒn	SON	23	Austro-Asiatic	Palaung-Wa		wbm	sonn1238
En	EN	24	Austro-Asiatic	Palaung-Wa		wbm	ennn1242
Tai-loi	TAI_LOI	25	Austro-Asiatic	Palaung-Wa		tlq	tail1246
A Mǒk	A_MOK	26	Austro-Asiatic	Palaung-Wa		mqt	mokk1243
Āng-kū	ANG_KU	27	Austro-Asiatic	Palaung-Wa		huo	huuu1240
Möng Lwe	MOENG_LWE	28	Austro-Asiatic	Palaung-Wa			
Danå	DANAO	29	Austro-Asiatic	Palaung-Wa		dnu	dana1252
Yin/Riang	YIN_RIANG	30	Austro-Asiatic	Palaung-Wa		ril	rian1261
K’a Muk	KHA_MUK	31	Austro-Asiatic	Palaung-Wa		kjg	khmu1255
K’āsī, Standard	KHASI_STANDARD	32	Austro-Asiatic	Khaasii	8.	kha	khas1269
Wār	WAR	33	Austro-Asiatic	Khaasii	12.	aml	warj1242
Nicobarese	NICOBARESE	34	Austro-Asiatic	Nicobarese	13.	ncb	cent1990
K’erwārī, Santālī	KHERWARI_SANTHALI	35	Austro-Asiatic	Munda	15.	sat	sant1410
Muṇḍārī	MUNDARI	36	Austro-Asiatic	Munda	16.	unr	mund1320
Kūrkū	KURKU	37	Austro-Asiatic	Munda	26.	kfq	kork1243
K’aṛiā	KHARIA	38	Austro-Asiatic	Munda	27.	khr	khar1287
Juāṅg	JUANG	39	Austro-Asiatic	Munda	28.	jun	juan1238
Savara	SAVARA	40	Austro-Asiatic	Munda	29.	srb	sora1254
Gadabā	GADABA	41	Austro-Asiatic	Munda	30.	gbj	bodo1267
Mandarin	MANDARIN	42	Sinitic	Tai-Chinese		cmn	mand1415
Cantonese	CANTONESE	43	Sinitic	Tai-Chinese			cant1236
Gyåmi	GYAOMI	44	Sinitic	Tai-Chinese		cmn	mand1415
Siamese, written	SIAMESE_WRITTEN	45	Sinitic	Tai-Chinese	45.	tha	thai1261
Siamese, spoken	SIAMESE_SPOKEN	46	Sinitic	Tai-Chinese			thai1261
Lao	LAO	47	Sinitic	Tai-Chinese		lao	laoo1244
Lü	LU	48	Sinitic	Tai-Chinese	46.	khb	luuu1242
K’ün	KHUN	49	Sinitic	Tai-Chinese	47.	kkh	khun1259
Šàn	SHAN	50	Sinitic	Tai-Chinese	49.	shn	shan1277
Āhom	AHOM	51	Sinitic	Tai-Chinese	51.	aho	ahom1240
K’āmtī	KHAMTI	52	Sinitic	Tai-Chinese	52.	kht	kham1290
Annamese	VIETNAMESE	53	Sinitic	Tai-Chinese		vie	viet1252
Pwo, literary	PWO_LITERARY	54	Karen		35.	kjt	phra1235
Pwo Bassein	PWO_BASSEIN	55	Karen			pwo	pwow1235
Pwo Maulmein	PWO_MAULMEIN	56	Karen			kjp	pwoe1235
Taungθu	TAUNGTHU	57	Karen		36.	blk	paok1235
Sgå, literary	SGA_LITERARY	58	Karen		34.	ksw	sgaw1245
Sgå, spoken	SGA_SPOKEN	59	Karen				sgaw1245
Bwè	BWE	60	Karen		32.	bwe	bwek1238
Wewaw	WEWAW	61	Karen		41a.	wea	wewa1238
Karenbyu	KARENBYU	62	Karen		33.	kvq	geba1237
Bräo	BRAEO	63	Karen			kvq	geba1237
Karenni	KARENNI	64	Karen		40.	eky	east2342
Yintalä	YINTALAE	65	Karen			kvy	yint1235
Sin-hmå Mäpauk	SIN_HMAO_MAEPAUK	66	Karen			kxf	manu1255
Gheko	GHEKO	67	Karen		39.	ghk	geko1235
Padaung	PADAUNG	68	Karen		37.	pdu	kaya1315
Yeinbå	YEINBA	69	Karen		38.	kvu	yinb1236
Manö	MANOE	70	Karen				manu1255
Zayein	ZAVEIN	71	Karen		41.	kxk	zaye1235
Mopwa, Bilichi	MOPWA_BILICHI	72	Karen			kpp	bili1249
Mopwa, Dermuha	MOPWA_DERMUHA	73	Karen			kpp	derm1238
Miao-tsü (Hmōng)	MIAO_TSU_(HMONG)	74	Man		43.	pha	pahn1237
Hē-Miao	HE_MIAO	75	Man				east2369
Pē-Miao	PE_MIAO	76	Man				
Man	MAN	77	Man			bmt	biao1256
Lanten-Yao	LANTEN_YAO	78	Man		42.	mji	kimm1245
Man-lan-tiēn	MAN_LAN_TIEN	79	Man			mji	kimm1245
Man-ta-pan	MAN_TA_PAN	80	Man			mji	kimm1245
