NameInSource	Name	Order	FamilyInSource	SubGroup	NumberInSource	ISO639P3code	Glottocode
Manchāṭī 	MANCHATI_OR_PATNI	81	Tibeto-Burman	Himalayan	72.	mjw	karb1241
Manchāṭī/Paṭnī	MANCHATI_OR_PATNI	82	Tibeto-Burman	Himalayan	72.	mjw	karb1241
Paṭnī	MANCHATI_OR_PATNI	83	Tibeto-Burman	Himalayan	72.	mjw	karb1241
Chamba Lāhulī	CHAMBA_LAHULI	84	Tibeto-Burman	Himalayan	73.	lae	cham1308
Kanāšī	KANASHI	85	Tibeto-Burman	Himalayan	76.	xns	kana1283
Kanaurī	KANAURI	86	Tibeto-Burman	Himalayan	77.	kfk	kinn1249
Rangkas	RANGKAS	87	Tibeto-Burman	Himalayan	78.	rgk	rang1266
D’īmāl	DHIMAL	88	Tibeto-Burman	Himalayan	83.	dhi	dhim1246
T’āmī	THAMI	89	Tibeto-Burman	Himalayan	84.	thf	than1259
Limbū	LIMBU	90	Tibeto-Burman	Himalayan	85.	lif	limb1266
Yāk’ā	YAKHA	91	Tibeto-Burman	Himalayan	86.	ybh	yakk1236
K’ambū	KHAMBU	92	Tibeto-Burman	Himalayan	87.	kle	kham1288
Bāhing	BAHING	93	Tibeto-Burman	Himalayan	90.	bhj	bahi1252
Bālālī	BALALI	94	Tibeto-Burman	Himalayan	91.	lbr	nort2727
Sāngpāng	SANGPANG	95	Tibeto-Burman	Himalayan	92.	rav	samp1249
Lōhōrông	LOHORONG	96	Tibeto-Burman	Himalayan	93.	lbr	nort2727
Lōhōrōng	LOHORONG	97	Tibeto-Burman	Himalayan	93.	lbr	nort2727
Lāmbich’ōng	LAMBICHHONG	98	Tibeto-Burman	Himalayan	94.	ybh	yakk1236
Wāling	WALING	99	Tibeto-Burman	Himalayan	95.	wly	wali1261
Ch’ingtāng	CHHINGTANG	100	Tibeto-Burman	Himalayan	96.	ctn	chhi1245
Rūngch’ēnbūng	RUNGCHHENBUNG	101	Tibeto-Burman	Himalayan	97.	bap	bant1281
Dūngmāli	DUNGMALI	102	Tibeto-Burman	Himalayan	98.	raa	dung1252
Rōdōng	RODONG_OR_CHAMLING	103	Tibeto-Burman	Himalayan	99.	rab	caml1239
Chāmling	RODONG_OR_CHAMLING	104	Tibeto-Burman	Himalayan	99.	rab	caml1239
Rōdōng/Chāmling	RODONG_OR_CHAMLING	105	Tibeto-Burman	Himalayan	99.	rab	caml1239
Nāch’erēng	NACHHERENG	106	Tibeto-Burman	Himalayan	100.	ncd	nach1240
Kūlung	KULUNG	107	Tibeto-Burman	Himalayan	101.	kle	kulu1253
T’ūlung	THULUNG	108	Tibeto-Burman	Himalayan	102.	duu	drun1238
Chaurāsya	CHAURASYA	109	Tibeto-Burman	Himalayan	103.	wme	wamb1257
K’āling	KHALING	110	Tibeto-Burman	Himalayan	104.	klr	khal1275
Dūmī	DUMI	111	Tibeto-Burman	Himalayan	105.	dus	dumi1241
Rai/Jimdār	RAI_OR_JIMDAR	112	Tibeto-Burman	Himalayan	88.	aph	athp1241
Vāyu/Hāyu	VAYU_OR_HAYU	113	Tibeto-Burman	Himalayan	106.	vay	wayu1241
Gurng	GURUNG	114	Tibeto-Burman	Himalayan	111.	ggn	east2345
Gurung	GURUNG	115	Tibeto-Burman	Himalayan	111.	ggn	east2345
Murmi	MURMI	116	Tibeto-Burman	Himalayan	112.	tdg	west2415
Sunwār	SUNWAR	117	Tibeto-Burman	Himalayan	113.	suz	sunw1242
Mãgarī	MAGARI	118	Tibeto-Burman	Himalayan	114.	mrd	west2418
Nēwārī	NEWARI	119	Tibeto-Burman	Himalayan	116.	new	newa1246
Paḍ’ī /Pahrī/Pahī	PADI_PAHRI_OR_PAHI	120	Tibeto-Burman	Himalayan	117.	new	newa1246
Róng/Lepcha	RONG_OR_LEPCHA	121	Tibeto-Burman	Himalayan	118.	lep	lepc1244
Ṭōṭō	TOTO	122	Tibeto-Burman	Himalayan	121.	txo	toto1302
Aka	AKA	123	Tibeto-Burman	Himalayan	122.	hru	hrus1242
Abor	ABOR	124	Tibeto-Burman	Himalayan	123.	adi	bori1243
Miri	MIRI	125	Tibeto-Burman	Himalayan	124.	mrg	misi1242
Daflā	DAFLA	126	Tibeto-Burman	Himalayan	125.	njz	nyis1236
Mišmi, Digārū	MISHMI_DIGARU	127	Tibeto-Burman	Himalayan	126.	mhu	diga1241
Mījū	MIJU	128	Tibeto-Burman	Himalayan		mxj	miju1243
Si-hia	SI_HIA	129	Tibeto-Burman	Lolo-Mosho		txg	tang1334
Lolo, ˨˦Ñi	LOLO_NI	130	Tibeto-Burman	Lolo-Mosho	273.	yix	axiy1235
Lolo, ˨˦Ñⁱ	LOLO_NI	131	Tibeto-Burman	Lolo-Mosho	273.	yix	axiy1235
Lolo, ˨˦Ñ^i	LOLO_NI	132	Tibeto-Burman	Lolo-Mosho	273.	yix	axiy1235
A-hi	A_HI	133	Tibeto-Burman	Lolo-Mosho			
Lo-lo p’o	LOLO_PHO	134	Tibeto-Burman	Lolo-Mosho		lgh	lagh1245
A-ka (Kå)	A_KA_KA	135	Tibeto-Burman	Lolo-Mosho	276.	ahk	akha1245
A-kö	A_KO	136	Tibeto-Burman	Lolo-Mosho	277a.	ahk	akoo1247
Lisu	LISU	137	Tibeto-Burman	Lolo-Mosho	275.	lis	lisu1250
Lis’å 	LISHAO_YAOYIN	138	Tibeto-Burman	Lolo-Mosho		lis	lisu1250
Yåyin	LISHAO_YAOYIN	139	Tibeto-Burman	Lolo-Mosho		lis	lisu1250
Lis’å/Yåyin	LISHAO_YAOYIN	140	Tibeto-Burman	Lolo-Mosho		lis	lisu1250
Mo-s’o	MO_SHO	141	Tibeto-Burman	Lolo-Mosho	274a.	lhu	lahu1253
Lahu	LAHU	142	Tibeto-Burman	Lolo-Mosho	274b.	lhu	lahu1253
Pyen /Pyin	PYEN_OR_PYIN	143	Tibeto-Burman	Lolo-Mosho	277a.	pyy	pyen1239
Pyen/Pyin	PYEN_OR_PYIN	144	Tibeto-Burman	Lolo-Mosho	277a.	pyy	pyen1239
Nung	NUNG	145	Tibeto-Burman	Lolo-Mosho	277a.	nun	nung1282
Gyårūng	GYAORUNG	146	Tibeto-Burman	Tibetan		jya	jiar1240
Mànyàk	MANYAK	147	Tibeto-Burman	Tibetan		mvm	muya1239
T’auchū	THAUCHU	148	Tibeto-Burman	Tibetan			
Tàkpà	TAKPA	149	Tibeto-Burman	Tibetan		twm	tawa1289
Haurpà	HAURPA	150	Tibeto-Burman	Tibetan			
B’ōṭiā, Tibetan, written	BHOTIA_TIBETAN_WRITTEN	151	Tibeto-Burman	Tibetan	58.	sip	sikk1242
B’ōṭiā, Tibetan, spoken	BHOTIA_TIBETAN_SPOKEN	152	Tibeto-Burman	Tibetan			sikk1242
Baltī	BALTI	153	Tibeto-Burman	Tibetan	59.	bft	balt1258
of Purik	BHOTIA_OF_PURIK	154	Tibeto-Burman	Tibetan	60.	prx	puri1258
Ladak’ī	LADAKHI	155	Tibeto-Burman	Tibetan	61.	lbj	lada1244
of Spiti	LADAKHI_OF_SPITI	156	Tibeto-Burman	Tibetan	63.	spt	spit1240
Kāgate	KAGATE	157	Tibeto-Burman	Tibetan	70.	syw	kaga1252
Šarpa	SHARPA	158	Tibeto-Burman	Tibetan	67.	xsr	sher1255
Dänjongkä	DANJONGKA	159	Tibeto-Burman	Tibetan	68.	sip	sikk1242
Hloke	HLOKE	160	Tibeto-Burman	Tibetan	69.	loy	lowa1242
Bodo	BODO_OR_BARA	161	Tibeto-Burman	Bodo	128.	brx	bodo1269
Båṛå	BODO_OR_BARA	162	Tibeto-Burman	Bodo	128.	brx	bodo1269
Bodo/Båṛå	BODO_OR_BARA	163	Tibeto-Burman	Bodo	128.	brx	bodo1269
Lālung	LALUNG	164	Tibeto-Burman	Bodo	130.	lax	tiwa1253
Dīmā-sā	DIMA_SA	165	Tibeto-Burman	Bodo	131.	dis	dima1251
Gārō, Āchik	GARO_ACHIK	166	Tibeto-Burman	Bodo	135.	grt	garo1247
Kōch	KOCH	167	Tibeto-Burman	Bodo	142.	kdq	koch1250
Tipurā	TIPURA	168	Tibeto-Burman	Bodo	151.	trp	kokb1239
Deurī-Chutiyā	DEURI_CHUTIYA	169	Tibeto-Burman	Bodo	152.	der	deor1238
Angāmi	ANGAMI	170	Tibeto-Burman	Naga	154.	njm	anga1288
Semā	SEMA	171	Tibeto-Burman	Naga	159.	nsm	sumi1235
Rengmā	RENGMA	172	Tibeto-Burman	Naga	162.	nnl	nort2725
Kēžāmā	KEZAMA	173	Tibeto-Burman	Naga	165.	nkh	khez1235
Sopvomā	SOPVOMA	174	Tibeto-Burman	Naga	194.	nbi	maon1238
Āo	AO	175	Tibeto-Burman	Naga	166.	njo	aona1235
Hlōtā	HLOTA	176	Tibeto-Burman	Naga	169.	njh	loth1237
Tengsa	TENGSA	177	Tibeto-Burman	Naga	170.	nst	tase1235
T’ukumi	THUKUMI	178	Tibeto-Burman	Naga	171.	nsa	sang1321
Yachumi	YACHUMI	179	Tibeto-Burman	Naga	172.	yim	yimc1240
Tableng	TABLENG	180	Tibeto-Burman	Naga	173.	nbe	kony1248
Tamlu	TAMLU	181	Tibeto-Burman	Naga	174.	nph	phom1236
Banparā	BANPARA	182	Tibeto-Burman	Naga	175.	nnp	wanc1238
Namsangiā	NAMSANGIA	183	Tibeto-Burman	Naga	178.	njb	noct1238
Chāng	CHANG	184	Tibeto-Burman	Naga	179.	nbc	chan1313
Mōšāng	MOSHANG	185	Tibeto-Burman	Naga	181.	nst	mosa1240
Ēmpēo	EMPEO	186	Tibeto-Burman	Naga	183.	nzm	zeme1240
Kabui	KABUI	187	Tibeto-Burman	Naga	187.	nbu	rong1266
K’oirāo	KHOIRAO	188	Tibeto-Burman	Naga	188.	nki	than1255
Mikir	MIKIR	189	Tibeto-Burman	Naga	189.	mjw	karb1241
Marām	MARAM	190	Tibeto-Burman	Naga	195.	nma	mara1379
Kwoireng	KWOIRENG	191	Tibeto-Burman	Naga	197.	njn	lian1251
Tāngk’ul	TANGKHUL	192	Tibeto-Burman	Naga	199.	nmf	ukhr1238
P’adāng	PHADANG	193	Tibeto-Burman	Naga	200.	nmf	phad1238
K’angoi	KHANGOI	194	Tibeto-Burman	Naga	201.	nmf	khan1277
Maring	MARING	195	Tibeto-Burman	Naga	202.	nng	mari1416
Chingpå/Kachin	CHINGPA_OR_KACHIN	196	Tibeto-Burman	Kachin	204.	kac	kach1280
Maran	MARAN	197	Tibeto-Burman	Kachin			
Singp’o	SINGPHO	198	Tibeto-Burman	Kachin	205.	sgp	sing1264
Old Meit’ei	OLD_MEITHEI	199	Tibeto-Burman	Kuki-Chin		omp	
Meit’ei	MEITHEI	200	Tibeto-Burman	Kuki-Chin	206.	mni	mani1292
T’ādo	THADO	201	Tibeto-Burman	Kuki-Chin	207.	tcz	thad1238
Siyin	SIYIN	202	Tibeto-Burman	Kuki-Chin	213.	csy	siyi1240
Lai	LAI	203	Tibeto-Burman	Kuki-Chin	219.	cnh	haka1240
LušēI	LUSHEI	204	Tibeto-Burman	Kuki-Chin	224.	lus	lush1249
Lušēi	LUSHEI	205	Tibeto-Burman	Kuki-Chin	224.	lus	lush1249
Banjōgi	BANJOGI	206	Tibeto-Burman	Kuki-Chin	227.	czt	zotu1235
Pānk’ū	PANKHU	207	Tibeto-Burman	Kuki-Chin	228.	pkh	pank1249
Hrāngk’ol	HRANGKHOL	208	Tibeto-Burman	Kuki-Chin	229.	hra	hran1239
Hallām	HALLAM	209	Tibeto-Burman	Kuki-Chin	232.	cfm	fala1243
Langrong	LANGRONG	210	Tibeto-Burman	Kuki-Chin	236.	aim	lang1312
Aimol	AIMOL	211	Tibeto-Burman	Kuki-Chin	237.	aim	aimo1244
Chiru	CHIRU	212	Tibeto-Burman	Kuki-Chin	238.	cdf	chir1283
Kolhreng	KOLHRENG	213	Tibeto-Burman	Kuki-Chin	239.	kmm	kolh1240
Kōm	KOM	214	Tibeto-Burman	Kuki-Chin	240.	kmm	komi1270
Pūrūm	PURUM	215	Tibeto-Burman	Kuki-Chin	246.	pub	puru1266
Anāl	ANAL	216	Tibeto-Burman	Kuki-Chin	247.	anm	anal1239
Hirōi-Lamgāng	HIROI_LAMGANG	217	Tibeto-Burman	Kuki-Chin	248.	lmk	lamk1238
Taungθa	TAUNGTHA	218	Tibeto-Burman	Kuki-Chin	255.	blk	paok1235
Chinbōk	CHINBOK	219	Tibeto-Burman	Kuki-Chin	252.	mwq	munc1235
Yådwin	YAWDWIN	220	Tibeto-Burman	Kuki-Chin		mwq	munc1235
Chinbōn	CHINBON	221	Tibeto-Burman	Kuki-Chin	254.	cnb	chin1478
Thayetmyo Chin	THAYETMYO_CHIN	222	Tibeto-Burman	Kuki-Chin		csh	thay1247
Šö/K’yang	SHO_OR_KHYANG	223	Tibeto-Burman	Kuki-Chin	256.	csh	asho1236
K’ami	KHAMI	224	Tibeto-Burman	Kuki-Chin	257.	cnk	kham1284
Andro	ANDRO	225	Tibeto-Burman	Lui	279.	zkd	kadu1254
Sengmai	SENGMAI	226	Tibeto-Burman	Lui	279.	zkd	kadu1254
Chairel	CHAIREL	227	Tibeto-Burman	Lui	280.		chai1254
Kadu	KADU	228	Tibeto-Burman	Lui	281.	zkd	kadu1254
Szi/Atsi	SZI_OR_ATSI	229	Tibeto-Burman	Burma	261.	atb	zaiw1241
Laši/Lechi	LASHI_OR_LECHI	230	Tibeto-Burman	Burma	262.	lsi	lash1243
Maru	MARU	231	Tibeto-Burman	Burma	263.	mhx	maru1249
Maingθa/Ngachang	MAINGTHA_OR_NGACHANG	232	Tibeto-Burman	Burma	260.	acn	acha1249
P’un, Samong	PHUN_SAMONG	233	Tibeto-Burman	Burma	272a.	hpo	hpon1238
Me-gyå	ME_GYAO	234	Tibeto-Burman	Burma			
Mrū	MRU	235	Tibeto-Burman	Burma	264.	mro	mruu1242
Burmese, written	BURMESE_WRITTEN	236	Tibeto-Burman	Burma	265.	mya	nucl1310
Burmese, spoken	BURMESE_SPOKEN	237	Tibeto-Burman	Burma			nucl1310
Arakanese	ARAKANESE	238	Tibeto-Burman	Burma	266.	rmz	marm1234
Taungyo	TAUNGYO	239	Tibeto-Burman	Burma	267.	tco	taun1248
Danu	DANU	240	Tibeto-Burman	Burma	269.	dnv	danu1251
Inθa	INTHA	241	Tibeto-Burman	Burma	268.	int	inth1239
Tavoyan	TAVOYAN	242	Tibeto-Burman	Burma	270.	tvn	tavo1242
Tamil̤	TAMIL	243	Dravidian		285.	tam	tami1289
Korava	KORAVA	244	Dravidian		287.	yeu	yeru1240
Kaikāḍī	KAIKADI	245	Dravidian		291.	kep	kaik1244
Irula	IRULA	246	Dravidian		289.	iru	irul1243
Malayāḷam	MALAYALAM	247	Dravidian		294.	mal	mala1464
Kanarese	KANARESE	248	Dravidian		297.	kan	nucl1305
Baḍaga	BADAGA	249	Dravidian		298.	bfq	bada1257
Koḍagu	KODAGU	250	Dravidian		301.	kfa	koda1255
Tuḷu	TULU	251	Dravidian		302.	tcy	tulu1258
Toda	TODA	252	Dravidian		303.	tcx	toda1252
Kōta	KOTA	253	Dravidian		304.	kfe	kota1263
Kurunꭓ	KURUX_OR_ORAO	254	Dravidian		305.	kru	kuru1302
Orāō̃	KURUX_OR_ORAO	255	Dravidian		305.	kru	kuru1302
Kurunꭓ/Orāō̃	KURUX_OR_ORAO	256	Dravidian		305.	kru	kuru1302
Malto/Maler	MALTO_OR_MALER	257	Dravidian		307.	kmj	kuma1274
Kui/Kand’ī/Khond	KUI_KANDHI_OR_KHOND	258	Dravidian		308.	kxu	kuii1252
Kōlāmī	KOLAMI	259	Dravidian		310.	kfb	nort2699
Gōṇḍi	GONDI	260	Dravidian		314.	ggo	sout2711
Telugu	TELUGU	261	Dravidian		320.	tel	telu1262
Brāhūī	BRAHUI	262	Dravidian		328.	brh	brah1256
Arabic	ARABIC	263	Semitic			arb	stan1318
Old Persian	OLD_PERSIAN	264	Indo-European Family, Aryan sub-family	Eranian		peo	oldp1254
Avesta	AVESTAN	265	Indo-European Family, Aryan sub-family	Eranian		ave	aves1237
Pahlavī	PAHLAVI	266	Indo-European Family, Aryan sub-family	Eranian		pal	pahl1241
Persian	PERSIAN	267	Indo-European Family, Aryan sub-family	Eranian	331.	pes	west2369
Paṣ̌tō, of Peshawar	PASHTO_OF_PESHAWAR	268	Indo-European Family, Aryan sub-family	Eranian	339.	pbu	nort2646
Wazīrī	WAZIRI	269	Indo-European Family, Aryan sub-family	Eranian	353.	pst	cent1973
of Kandahar	PASHTO_OF_KANDAHAR	270	Indo-European Family, Aryan sub-family	Eranian	354.	pbt	sout2649
Ōrmuṛī	ORMURI	271	Indo-European Family, Aryan sub-family	Eranian	360.	oru	ormu1247
Balōchī, Makrānī	BALOCHI_MAKRANI	272	Indo-European Family, Aryan sub-family	Eranian	363.	bcc	sout2642
Eastern	EASTERN_BALOCHI	273	Indo-European Family, Aryan sub-family	Eranian	366.	bgp	east2304
Waꭓī	WAXI	274	Indo-European Family, Aryan sub-family	Eranian	370.	wbl	wakh1245
Šiɣnī	SHIYNI	275	Indo-European Family, Aryan sub-family	Eranian	371.	sgh	shug1248
Sarīkolī	SARIKOLI	276	Indo-European Family, Aryan sub-family	Eranian	372.	srh	sari1246
Iškāšmī, Zēbakī	ISHKASHMI_ZEBAKI	277	Indo-European Family, Aryan sub-family	Eranian	376.	isk	ishk1246
Munjānī/Mungī	MUNJANI_OR_MUNGI	278	Indo-European Family, Aryan sub-family	Eranian	377.	mnj	munj1244
Yüdɣa	YUDYA	279	Indo-European Family, Aryan sub-family	Eranian	378.	ydg	yidg1240
Bašgali	BASHGALI	280	Indo-European Family, Aryan sub-family	Dardic or Pisacha	379.	bsh	kati1270
Wai-alā	WAI_ALA	281	Indo-European Family, Aryan sub-family	Dardic or Pisacha	380.	wbk	waig1243
Wasĩ-veru/Veron	WASI_VERI_OR_VERON	282	Indo-European Family, Aryan sub-family	Dardic or Pisacha	381.	prn	pras1239
Wasĩ-veri/Veron	WASI_VERI_OR_VERON	283	Indo-European Family, Aryan sub-family	Dardic or Pisacha	381.	prn	pras1239
Kalāšā	KALASHA	284	Indo-European Family, Aryan sub-family	Dardic or Pisacha	383.	kls	kala1372
Gawar-bati	GAWAR_BATI	285	Indo-European Family, Aryan sub-family	Dardic or Pisacha	384.	gwt	gawa1247
Pašai, Eastern	PASHAI_EASTERN	286	Indo-European Family, Aryan sub-family	Dardic or Pisacha	386.	psi	sout2672
Pašai, Western	PASHAI_WESTERN	287	Indo-European Family, Aryan sub-family	Dardic or Pisacha	387.	psh	sout2671
K’ōwār/Chitrālī	KHOWAR_OR_CHITRALI	288	Indo-European Family, Aryan sub-family	Dardic or Pisacha	390.	khw	khow1242
Šiṇā, Gilgitī	SHINA_GILGITI	289	Indo-European Family, Aryan sub-family	Dardic or Pisacha	392.	scl	gilg1242
Chilāsi	CHILASI	290	Indo-European Family, Aryan sub-family	Dardic or Pisacha	394.	scl	shin1264
of Drās	CHILASI_OF_DRAS	291	Indo-European Family, Aryan sub-family	Dardic or Pisacha	396.	scl	dras1242
of Ḍāh-Hanū	CHILASI_OF_DAH_HANU	292	Indo-European Family, Aryan sub-family	Dardic or Pisacha	397.	bkk	brok1247
Kašmīrī	KASHMIRI	293	Indo-European Family, Aryan sub-family	Dardic or Pisacha	400.	kas	kash1277
Kašṭawāṛī	KASHTAWARI	294	Indo-European Family, Aryan sub-family	Dardic or Pisacha	401.	kas	kish1245
Pǒgulī	POGULI	295	Indo-European Family, Aryan sub-family	Dardic or Pisacha	403.	kas	pogu1238
Ḍōḍā Sirājī	DODA_SIRAJI	296	Indo-European Family, Aryan sub-family	Dardic or Pisacha	404.		sira1264
Rāmbanī	RAMBANI	297	Indo-European Family, Aryan sub-family	Dardic or Pisacha	405.		ramb1240
Kōhistānī, Gārwī	KOHISTANI_GARWI	298	Indo-European Family, Aryan sub-family	Dardic or Pisacha	408.	mvy	indu1241
Tōrwālī	TORWALI	299	Indo-European Family, Aryan sub-family	Dardic or Pisacha	409.	trw	torw1241
Maiyā̃	MAIYA	300	Indo-European Family, Aryan sub-family	Dardic or Pisacha	411.	mvy	indu1241
Gypsy, European	GYPSY_EUROPEAN	301	Indo-European Family, Aryan sub-family	Dardic or Pisacha			roma1329
Gypsy, Syrian	GYPSY_SYRIAN	302	Indo-European Family, Aryan sub-family	Dardic or Pisacha			doma1258
Sanskrit	SANSKRIT	303	Indo-European Family, Aryan sub-family	Indo-Aryan		san	sans1269
Prakrit	PRAKRIT	304	Indo-European Family, Aryan sub-family	Indo-Aryan		psu	saur1252
K’ētrānī	KHETRANI	305	Indo-European Family, Aryan sub-family	Indo-Aryan	430.	xhe	khet1238
Lahndā, of Shahpur	LAHNDA_OF_SHAHPUR	306	Indo-European Family, Aryan sub-family	Indo-Aryan	417.	pnb	west2386
Mūltānī	MULTANI	307	Indo-European Family, Aryan sub-family	Indo-Aryan	426.	skr	mult1243
Hindkī	HINDKI	308	Indo-European Family, Aryan sub-family	Indo-Aryan	428.	hnd	sout2668
T’aḷī	THALI	309	Indo-European Family, Aryan sub-family	Indo-Aryan	432.	skr	thal1241
D’annī	DHANNI	310	Indo-European Family, Aryan sub-family	Indo-Aryan	433.	hno	
Tināulī	TINAULI	311	Indo-European Family, Aryan sub-family	Indo-Aryan	435.	hno	
of Salt Range	TINAULI_OF_SALT_RANGE	312	Indo-European Family, Aryan sub-family	Indo-Aryan	442.	hno	
Pōṭ’wārī	POTHWARI	313	Indo-European Family, Aryan sub-family	Indo-Aryan	437.	phr	poth1238
Chib’āli	CHIBHALI	314	Indo-European Family, Aryan sub-family	Indo-Aryan	440.	phr	chib1247
Punch’ī	PUNCHHI	315	Indo-European Family, Aryan sub-family	Indo-Aryan	441.	phr	punc1239
Sind’ī, Vichōlī	SINDHI_VICHOLI	316	Indo-European Family, Aryan sub-family	Indo-Aryan	446.	snd	sind1272
Lāṛī	LARI	317	Indo-European Family, Aryan sub-family	Indo-Aryan	450.	snd	lari1254
