	Japanese	usagi uma
	Ainu	…
	Korean	nàkui
	Turkī	ēšāk
		hāngī
	Manchu	eihen
	Mongolian	eljigen
	Sakupà	...
	Basque	arsto
		asto
850.	Burušaskī	jakun
2a.	Malay	kàldai
2b.	Cham	bàpauv
1.	Salôn	…
	K’mēr	leà
3a.	Talaing, written	māai
3b. 	Talaing, spoken	mai
	Sakai	…
	Sěmang	…
4a.	Palaung	lā
4b.	Katuṟṟ	…
4c.	Darāng	mà-lo (mule)
5.	Wa	màruàṅ
	Sǒn	mà-lå (mule)
	En	m’blåṅ-hå (mule)
	Tai-loi	n’rāṅ-hå (mule)
	A Mǒk	m’làṅ-lå (mule)
	Āng-kū	mà-lå (mule)
	Möng Lwe	mà-lå (mule)
	Danå	…
	Yin/Riang	lå-là (mule)
	K’a Muk	…
8.	K’āsī, Standard	kàddà
12.	Wār	kàddà
13.	Nicobarese	…
15a. 	K’erwārī, Santālī	(borrow from Aryan)
16. (15b.)	Muṇḍārī	(borrow from Aryan)
26. 	Kūrkū	(borrow from Aryan)
27.	K’aṛiā	(borrow from Aryan)
28.	Juāṅg	(borrow from Aryan)
29.	Savara	pekui
30.	Gadabā	(borrows from Aryan)
	Mandarin	˨ lū
	Cantonese	˨ lui
	Gyåmi	...
45a.	Siamese, written	˧ lā
45b.	Siamese, spoken	˧ lā
	Lao	…
46.	Lü	lā
47.	K’ün	lā
49.	Šàn	˦˨ lī
51.	Āhom	mā
52.	K’āmtī	…
	Annamese	˧ kon ˨˩ lüà
35a.	Pwo, literary	…
35b.	Pwo Bassein	k^àθi yaũ
35c.	Pwo Maulmein	k^àθi yaũ
36.	Taungθu	…
34a.	Sgå, literary	˧ ka ˥˦ θē = yå
34b.	Sgå, spoken	k^àθi là
		là
32.	Bwè	θri
41a.	Wewaw	k^àθe
33.	Karenbyu	là
	Bräo	…
40a.	Karenni	myà å lyà
(40b.)	Yintalä	…
(40c.)	Sin-hmå Mäpauk	…
39. 	Gheko	myä
37. 	Padaung	myä
38. 	Yeinbå	θüᵏ
	Manö	…
41.	Zayein	…
	Mopwa, Bilichi	k^àθi là
	Mopwa, Dermuha	l^àɣo là
43a.	Miao-tsü (Hmōng)	…
43b.	Hē-Miao	lui
43c.	Pē-Miao	lwa
(42a.)	Man	…
42b.	Lanten-Yao	…
42c.	Man-lan-tiēn	˨˩ lō
42d.	Man-ta-pan	˨˩ lo
72.	Manchāṭī/Paṭnī	kārā
73. 	Chamba Lāhulī	kār
