ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAPID	INFERRED_CLASS
23284	114_and	And	CANTONESE	CANTONESE	˨˩ k’aᵖ	k’aᵖ˨˩	kʰ ʌ p̚ ²¹	cant1236	1577				1 7 1 8	AXLT	KEP3	23	23.K.C 23.E.V 23.P.c 23.3.T	1.6 3.0 1.1 1.0	kʰʌp̚²¹	0	9	And:9
23296	114_and	And	PWOLITERARY	PWO_LITERARY	˧ dai	dai˧	d̪ ai ³	phra1235	1577	18.0048	99.6382		1 7 8	AXT	TA6	117	117.T.C 117.A.V 117.6.T	1.6 3.0 1.0	d̪ai³	0	7	And:7
23297	114_and	And	PWOLITERARY	PWO_LITERARY	˦ då	då˦	d̪ ɔ ⁴	phra1235	1577	18.0048	99.6382		1 7 8	AXT	TU6	117	117.T.C 117.U.V 117.6.T	1.6 3.0 1.0	d̪ɔ⁴	0	7	And:7
23298	114_and	And	PWOBASSEIN	PWO_BASSEIN	dä	dä	d̪ ɛ	pwow1235	1577	17.3622	97.7044		1 7	AX	TE	116	116.T.C 116.E.V	2.0 1.5	d̪ɛ	0	7	And:7
23299	114_and	And	PWOMAULMEIN	PWO_MAULMEIN	dä	dä	d̪ ɛ	pwoe1235	1577	15.1915	98.7355		1 7	AX	TE	118	118.T.C 118.E.V	2.0 1.5	d̪ɛ	0	7	And:7
23300	114_and	And	TAUNGTHU	TAUNGTHU	tǒm	tǒm	t̪ ɒ m	paok1235	1577	20.211	97.5969		1 7 4	AXN	TOM	144	144.T.C 144.O.V 144.M.c	2.0 1.5 0.8	t̪ɒm	0	25	And:25
23301	114_and	And	SGALITERARY	SGA_LITERARY	˦ då°	då°˦	d̪ ɔ ⁴	sgaw1245	1577	17.9872	97.7126		1 7 8	AXT	TU6	129	129.T.C 129.U.V 129.6.T	1.6 3.0 1.0	d̪ɔ⁴	0	7	And:7
23302	114_and	And	SGASPOKEN	SGA_SPOKEN	då	då	d̪ ɔ	sgaw1245	1577	17.9872	97.7126		1 7	AX	TU	130	130.T.C 130.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23303	114_and	And	BWE	BWE	gye	gye	gʲ e	bwek1238	1577	18.9796	96.9936		1 7	AX	KE	22	22.K.C 22.E.V	2.0 1.5	gʲe	0	8	And:8
23304	114_and	And	BWE	BWE	kye (between nouns)	kye	kʲ e	bwek1238	1577	18.9796	96.9936		1 7	AX	KE	22	22.K.C 22.E.V	2.0 1.5	kʲe	0	8	And:8
23305	114_and	And	BWE	BWE	lä (bet. phrases)	lä	l ɛ	bwek1238	1577	18.9796	96.9936		5 7	AX	LE	22	22.L.C 22.E.V	2.0 1.5	lɛ	0	1	And:1
23306	114_and	And	WEWAW	WEWAW	då	då	d̪ ɔ	wewa1238	1577	19.020577	96.540526		1 7	AX	TU	157	157.T.C 157.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23307	114_and	And	KARENBYU	KARENBYU	ki	ki	k i	geba1237	1577	19.4991	96.9492		1 7	AX	KI	58	58.K.C 58.I.V	2.0 1.5	ki	0	8	And:8
23308	114_and	And	BRAEO	BRAEO	då	då	d̪ ɔ	geba1237	1577	19.4991	96.9492		1 7	AX	TU	19	19.T.C 19.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23309	114_and	And	KARENNI	KARENNI	nà (between nouns)	nà	n̪ a	east2342	1577	19.8939	98.3359		4 7	AX	NA	59	59.N.C 59.A.V	2.0 1.5	n̪a	0	3	And:3
23310	114_and	And	KARENNI	KARENNI	rå (bet. phrases)	rå	r ɔ	east2342	1577	19.8939	98.3359		5 7	AX	RU	59	59.R.C 59.U.V	2.0 1.5	rɔ	0	1	And:1
23311	114_and	And	GHEKO	GHEKO	då	då	d̪ ɔ	geko1235	1577	19.6741	96.5308		1 7	AX	TU	43	43.T.C 43.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23312	114_and	And	PADAUNG	PADAUNG	då	då	d̪ ɔ	kaya1315	1577	19.5183	97.4138		1 7	AX	TU	110	110.T.C 110.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23313	114_and	And	YEINBA	YEINBA	lö (between nouns and phrases)	lö	l ø	yinb1236	1577	19.0383	97.2134		5 7	AX	LU	161	161.L.C 161.U.V	2.0 1.5	lø	0	1	And:1
23314	114_and	And	MOPWABILICHI	MOPWA_BILICHI	lö	lö	l ø	bili1249	1577				5 7	AX	LU	100	100.L.C 100.U.V	2.0 1.5	lø	0	1	And:1
23315	114_and	And	MOPWABILICHI	MOPWA_BILICHI	lä (between nouns)	lä	l ɛ	bili1249	1577				5 7	AX	LE	100	100.L.C 100.E.V	2.0 1.5	lɛ	0	1	And:1
23316	114_and	And	MOPWABILICHI	MOPWA_BILICHI	då (bet. phrases)	då	d̪ ɔ	bili1249	1577				1 7	AX	TU	100	100.T.C 100.U.V	2.0 1.5	d̪ɔ	0	7	And:7
23317	114_and	And	MOPWADERMUHA	MOPWA_DERMUHA	lö (between nouns and phrases)	lö	l ø	derm1238	1577				5 7	AX	LU	101	101.L.C 101.U.V	2.0 1.5	lø	0	1	And:1
23323	114_and	And	MANCHATIORPATNI	MANCHATI_OR_PATNI	uï	uï	u ɪ	karb1241	1577	25.7317	93.0462		7 7	XZ	YI	88	88.Y.V 88.I.V	1.5 0.8	uɪ	0	19	And:19
23324	114_and	And	MANCHATIORPATNI	MANCHATI_OR_PATNI	e	e	e	karb1241	1577	25.7317	93.0462		7	X	E	88	88.E.V	1.5	e	0	17	And:17
23325	114_and	And	KANASHI	KANASHI	hed	hed	h e d̪	kana1283	1577	32.2843	77.1553		3 7 1	AXN	HET	56	56.H.C 56.E.V 56.T.c	2.0 1.5 0.8	hed̪	0	16	And:16
23326	114_and	And	KANAURI	KANAURI	ai	ai	ai	kinn1249	1577	31.3688	78.3148		7	X	A	57	57.A.V	1.5	ai	0	17	And:17
23327	114_and	And	RANGKAS	RANGKAS	gār	gār	g ʌː r	rang1266	1577	29.2278	80.0845		1 7 5	AXN	KER	121	121.K.C 121.E.V 121.R.c	2.0 1.5 0.8	gʌːr	0	8	And:8
23328	114_and	And	RANGKAS	RANGKAS	gāṅr	gāṅr	g ʌː ŋ r	rang1266	1577	29.2278	80.0845		1 7 4 5	AXBC	KENR	121	121.K.C 121.E.V 121.N.C 121.R.C	2.0 1.5 1.75 1.5	gʌːŋr	0	29	And:29
23329	114_and	And	DHIMAL	DHIMAL	ai-dauṅ (?)	ai-dauṅ	ai + d̪ au ŋ	dhim1246	1577	26.6283	88.3798		7 9 1 7 4	X_AXN	A_TAN	37	37.A.V 37._._ 37.T.C 37.A.V 37.N.c	1.5 0.0 2.0 1.5 0.8	ai+d̪auŋ	0	7	And:7
23330	114_and	And	THAMI	THAMI	ani	ani	ʌ n̪ i	than1259	1577	28.7554	85.7657		7 4 7	XBZ	ENI	149	149.E.V 149.N.C 149.I.V	1.5 1.75 0.8	ʌn̪i	0	3	And:3
23331	114_and	And	LIMBU	LIMBU	nū	nū	n̪ uː	limb1266	1577	27.2703	87.8859		4 7	AX	NY	79	79.N.C 79.Y.V	2.0 1.5	n̪uː	0	3	And:3
23332	114_and	And	YAKHA	YAKHA	i-k’ok	i-k’ok	i + kʰ o k	yakk1236	1577	27.3714	87.9306		7 9 1 7 1	X_AXN	I_KUK	159	159.I.V 159._._ 159.K.C 159.U.V 159.K.c	1.5 0.0 2.0 1.5 0.8	i+kʰok	0	27	And:27
23333	114_and	And	KHAMBU	KHAMBU	aiyāh	aiyāh	ai j ʌː h	kham1288	1577				7 6 7 3	XBYN	AJEH	62	62.A.V 62.J.C 62.E.V 62.H.c	1.5 1.75 1.3 0.8	aijʌːh	0	10	And:10
23334	114_and	And	LAMBICHHONG	LAMBICHHONG	lā	lā	l ʌː	yakk1236	1577	27.3714	87.9306		5 7	AX	LE	76	76.L.C 76.E.V	2.0 1.5	lʌː	0	1	And:1
23335	114_and	And	LAMBICHHONG	LAMBICHHONG	ch’ā	ch’ā	tʃʰ ʌː	yakk1236	1577	27.3714	87.9306		1 7	AX	TE	76	76.T.C 76.E.V	2.0 1.5	tʃʰʌː	0	7	And:7
23336	114_and	And	WALING	WALING	ch’a	ch’a	tʃʰ ʌ	wali1261	1577	26.6369	86.4837		1 7	AX	TE	156	156.T.C 156.E.V	2.0 1.5	tʃʰʌ	0	7	And:7
23337	114_and	And	CHHINGTANG	CHHINGTANG	yē	yē	j eː	chhi1245	1577	26.961	87.1899		6 7	AX	JE	28	28.J.C 28.E.V	2.0 1.5	jeː	0	10	And:10
23338	114_and	And	CHHINGTANG	CHHINGTANG	naṅ	naṅ	n̪ ʌ ŋ	chhi1245	1577	26.961	87.1899		4 7 4	AXN	NEN	28	28.N.C 28.E.V 28.N.c	2.0 1.5 0.8	n̪ʌŋ	0	3	And:3
23339	114_and	And	CHHINGTANG	CHHINGTANG	yāṅ	yāṅ	j ʌː ŋ	chhi1245	1577	26.961	87.1899		6 7 4	AXN	JEN	28	28.J.C 28.E.V 28.N.c	2.0 1.5 0.8	jʌːŋ	0	10	And:10
23340	114_and	And	NACHHERENG	NACHHERENG	sa	sa	s ʌ	nach1240	1577	27.4202	86.7001		3 7	AX	SE	106	106.S.C 106.E.V	2.0 1.5	sʌ	0	8	And:8
23341	114_and	And	NACHHERENG	NACHHERENG	lō	lō	l oː	nach1240	1577	27.4202	86.7001		5 7	AX	LU	106	106.L.C 106.U.V	2.0 1.5	loː	0	1	And:1
23342	114_and	And	KULUNG	KULUNG	sō	sō	s oː	kulu1253	1577	27.1606	87.5717		3 7	AX	SU	69	69.S.C 69.U.V	2.0 1.5	soː	0	8	And:8
23343	114_and	And	THULUNG	THULUNG	nuṅ	nuṅ	n̪ u ŋ	drun1238	1577	28.00792	98.49449		4 7 4	AXN	NYN	152	152.N.C 152.Y.V 152.N.c	2.0 1.5 0.8	n̪uŋ	0	3	And:3
23344	114_and	And	THULUNG	THULUNG	bō	bō	b oː	drun1238	1577	28.00792	98.49449		1 7	AX	PU	152	152.P.C 152.U.V	2.0 1.5	boː	0	8	And:8
23345	114_and	And	CHAURASYA	CHAURASYA	yē	yē	j eː	wamb1257	1577	27.14808	86.47646		6 7	AX	JE	27	27.J.C 27.E.V	2.0 1.5	jeː	0	10	And:10
23346	114_and	And	RAIORJIMDAR	RAI_OR_JIMDAR	kāi	kāi	k aːi	athp1241	1577	26.8794	87.3296		1 7	AX	KA	120	120.K.C 120.A.V	2.0 1.5	kaːi	0	17	And:17
23347	114_and	And	GURUNG	GURUNG	ra	ra	r ʌ	east2345	1577	28.4368	84.58145		5 7	AX	RE	44	44.R.C 44.E.V	2.0 1.5	rʌ	0	1	And:1
23348	114_and	And	MURMI	MURMI	ra	ra	r ʌ	west2415	1577	28.0239	85.0563		5 7	AX	RE	105	105.R.C 105.E.V	2.0 1.5	rʌ	0	1	And:1
23349	114_and	And	SUNWAR	SUNWAR	āni	āni	ʌː n̪ i	sunw1242	1577	27.5201	86.2476		7 4 7	XBZ	ENI	138	138.E.V 138.N.C 138.I.V	1.5 1.75 0.8	ʌːn̪i	0	3	And:3
23350	114_and	And	MAGARI	MAGARI	ra	ra	r ʌ	west2418	1577	28.2462	83.511		5 7	AX	RE	86	86.R.C 86.E.V	2.0 1.5	rʌ	0	1	And:1
23351	114_and	And	NEWARI	NEWARI	o	o	o	newa1246	1577	27.2614	84.9577		7	X	U	108	108.U.V	1.5	o	0	17	And:17
23352	114_and	And	PADIPAHRIORPAHI	PADI_PAHRI_OR_PAHI	o	o	o	newa1246	1577	27.2614	84.9577		7	X	U	111	111.U.V	1.5	o	0	17	And:17
23353	114_and	And	RONGORLEPCHA	RONG_OR_LEPCHA	un	un	u n̪	lepc1244	1577	27.0869	88.5726		7 4	XN	YN	124	124.Y.V 124.N.c	1.5 0.8	un̪	0	21	And:21
23355	114_and	And	ABOR	ABOR	lāṅ	lāṅ	l ʌː ŋ	bori1243	1577	27.62812	94.3538		5 7 4	AXN	LEN	1	1.L.C 1.E.V 1.N.c	2.0 1.5 0.8	lʌːŋ	0	1	And:1
23356	114_and	And	MIRI	MIRI	lāṅ	lāṅ	l ʌː ŋ	misi1242	1577	27.418	94.69		5 7 4	AXN	LEN	98	98.L.C 98.E.V 98.N.c	2.0 1.5 0.8	lʌːŋ	0	1	And:1
23357	114_and	And	DAFLA	DAFLA	lā	lā	l ʌː	nyis1236	1577	27.278263	93.675529		5 7	AX	LE	33	33.L.C 33.E.V	2.0 1.5	lʌː	0	1	And:1
23358	114_and	And	LOLONI	LOLO_NI	˦˨ nä	nä˦˨	n̪ ɛ ⁴²	axiy1235	1577	24.6009	103.713		4 7 8	AXT	NE3	83	83.N.C 83.E.V 83.3.T	1.6 3.0 1.0	n̪ɛ⁴²	0	3	And:3
23360	114_and	And	LOLOPHO	LOLO_PHO	˦˨ lä	lä˦˨	l ɛ ⁴²	lagh1245	1577	22.2674	103.929		5 7 8	AXT	LE3	84	84.L.C 84.E.V 84.3.T	1.6 3.0 1.0	lɛ⁴²	0	1	And:1
