ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAPID	INFERRED_CLASS
23442	114_and	And	TAMIL	TAMIL	um	um	u m	tami1289		10.520219	78.825989		7 4	XN	YM	15	15.Y.V 15.M.c	1.5 0.8	um	0	1	And:1
23443	114_and	And	KORAVA	KORAVA	matt	matt	m ʌ t̪ t̪	yeru1240		17.3702	81.9748		4 7 1 1	AXLN	METT	9	9.M.C 9.E.V 9.T.c 9.T.c	2.0 1.5 1.1 0.8	mʌt̪t̪	0	3	And:3
23444	114_and	And	KAIKADI	KAIKADI	ān	ān	ʌː n̪	kaik1244		18.3859	76.0003		7 4	XN	EN	5	5.E.V 5.N.c	1.5 0.8	ʌːn̪	0	1	And:1
23445	114_and	And	MALAYALAM	MALAYALAM	um	um	u m	mala1464		9.59208	76.7651		7 4	XN	YM	13	13.Y.V 13.M.c	1.5 0.8	um	0	1	And:1
23446	114_and	And	KANARESE	KANARESE	mattᵘ	mattᵘ	m ʌ t̪ t̪ ŭ	nucl1305		13.5878	76.1198		4 7 1 1 7	AXMBZ	METTY	6	6.M.C 6.E.V 6.T.c 6.T.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	mʌt̪t̪ŭ	0	3	And:3
23447	114_and	And	BADAGA	BADAGA	u	u	u	bada1257		11.3094	76.5974		7	X	Y	1	1.Y.V	1.5	u	0	1	And:1
23448	114_and	And	TULU	TULU	bokka	bokka	b o k k ʌ	tulu1258		12.8114	75.2651		1 7 1 1 7	AXMBZ	PUKKE	18	18.P.C 18.U.V 18.K.c 18.K.C 18.E.V	2.0 1.5 1.1 1.75 0.8	bokkʌ	0	8	And:8
23449	114_and	And	TULU	TULU	-lā	-lā	+ l ʌː	tulu1258		12.8114	75.2651		9 5 7	_AX	_LE	18	18._._ 18.L.C 18.E.V	0.0 2.0 1.5	+lʌː	0	9	And:9
23450	114_and	And	TODA	TODA	-u (suffix)	-u	+ u	toda1252		11.4184	77.0168		9 7	_X	_Y	17	17._._ 17.Y.V	0.0 1.5	+u	0	7	And:7
23451	114_and	And	KURUXORORAO	KURUX_OR_ORAO	darā	darā	d̪ ʌ r ʌː	kuru1302		24.4644	86.4657		1 7 5 7	AXBZ	TERE	12	12.T.C 12.E.V 12.R.C 12.E.V	2.0 1.5 1.75 0.8	d̪ʌrʌː	0	5	And:5
23452	114_and	And	MALTOORMALER	MALTO_OR_MALER	ado	ado	ʌ d̪ o	kuma1274		24.1217	87.2699		7 1 7	XBZ	ETU	14	14.E.V 14.T.C 14.U.V	1.5 1.75 0.8	ʌd̪o	0	4	And:4
23453	114_and	And	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	oṭē	oṭē	o ʈ eː	kuii1252		19.2043	83.5859		7 1 7	XBZ	UTE	11	11.U.V 11.T.C 11.E.V	1.5 1.75 0.8	oʈeː	0	4	And:4
23454	114_and	And	GONDI	GONDI	ānī (Aryan)	ānī	ʌː n̪ iː	sout2711		20.10446	80.27811		7 4 7	XBZ	ENI	3	3.E.V 3.N.C 3.I.V	1.5 1.75 0.8	ʌːn̪iː	0	2	And:2
23455	114_and	And	TELUGU	TELUGU	iṅkᵃ	iṅkᵃ	i ŋ k ă	telu1262		16.4529	78.7024		7 4 1 7	XMBZ	INKA	16	16.I.V 16.N.c 16.K.C 16.A.V	1.5 1.1 1.75 0.8	iŋkă	0	6	And:6
23456	114_and	And	BRAHUI	BRAHUI	ō (Aryan)	ō	oː	brah1256		29.04	66.56		7	X	U	2	2.U.V	1.5	oː	0	1	And:1
56198	53_ass	Ass	TAMIL	TAMIL	kar̤udei	kar̤udei	k ʌ ɻ u d̪ ei	tami1289		10.520219	78.825989		1 7 5 7 1 7	AXBYBZ	KERYTE	15	15.K.C 15.E.V 15.R.C 15.Y.V 15.T.C 15.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kʌɻud̪ei	0	10	Ass:10
56199	53_ass	Ass	KORAVA	KORAVA	kadi	kadi	k ʌ d̪ i	yeru1240		17.3702	81.9748		1 7 1 7	AXBZ	KETI	9	9.K.C 9.E.V 9.T.C 9.I.V	2.0 1.5 1.75 0.8	kʌd̪i	0	10	Ass:10
56200	53_ass	Ass	KAIKADI	KAIKADI	k’edi	k’edi	kʰ e d̪ i	kaik1244		18.3859	76.0003		1 7 1 7	AXBZ	KETI	5	5.K.C 5.E.V 5.T.C 5.I.V	2.0 1.5 1.75 0.8	kʰed̪i	0	10	Ass:10
56201	53_ass	Ass	MALAYALAM	MALAYALAM	kaṛudᵃ	kaṛudᵃ	k ʌ ɽ u d̪ ă	mala1464		9.59208	76.7651		1 7 5 7 1 7	AXBYBZ	KERYTA	13	13.K.C 13.E.V 13.R.C 13.Y.V 13.T.C 13.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kʌɽud̪ă	0	10	Ass:10
56202	53_ass	Ass	KANARESE	KANARESE	kattᵉ	kattᵉ	k ʌ t̪ t̪ ĕ	nucl1305		13.5878	76.1198		1 7 1 1 7	AXMBZ	KETTE	6	6.K.C 6.E.V 6.T.c 6.T.C 6.E.V	2.0 1.5 1.1 1.75 0.8	kʌt̪t̪ĕ	0	10	Ass:10
56203	53_ass	Ass	BADAGA	BADAGA	klatte	klatte	k l ʌ t̪ t̪ e	bada1257		11.3094	76.5974		1 5 7 1 1 7	ACXMBZ	KLETTE	1	1.K.C 1.L.C 1.E.V 1.T.c 1.T.C 1.E.V	2.0 1.5 1.5 1.1 1.75 0.8	klʌt̪t̪e	0	10	Ass:10
56204	53_ass	Ass	TULU	TULU	katte	katte	k ʌ t̪ t̪ e	tulu1258		12.8114	75.2651		1 7 1 1 7	AXMBZ	KETTE	18	18.K.C 18.E.V 18.T.c 18.T.C 18.E.V	2.0 1.5 1.1 1.75 0.8	kʌt̪t̪e	0	10	Ass:10
56205	53_ass	Ass	TODA	TODA	klatte	klatte	k l ʌ t̪ t̪ e	toda1252		11.4184	77.0168		1 5 7 1 1 7	ACXMBZ	KLETTE	17	17.K.C 17.L.C 17.E.V 17.T.c 17.T.C 17.E.V	2.0 1.5 1.5 1.1 1.75 0.8	klʌt̪t̪e	0	10	Ass:10
56206	53_ass	Ass	KURUXORORAO	KURUX_OR_ORAO	gad’ā (Aryan)	gad’ā	g ʌ d̪ʰ ʌː	kuru1302		24.4644	86.4657		1 7 1 7	AXBZ	KETE	12	12.K.C 12.E.V 12.T.C 12.E.V	2.0 1.5 1.75 0.8	gʌd̪ʰʌː	0	10	Ass:10
56207	53_ass	Ass	MALTOORMALER	MALTO_OR_MALER	gada-goṛoθ	gada-goṛoθ	g ʌ d̪ ʌ + g o ɽ o θ	kuma1274		24.1217	87.2699		1 7 1 7 9 1 7 5 7 3	AXBZ_AXBYN	KETE_KURUD	14	14.K.C 14.E.V 14.T.C 14.E.V 14._._ 14.K.C 14.U.V 14.R.C 14.U.V 14.D.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8	gʌd̪ʌ+goɽoθ	0	12	Ass:12
56208	53_ass	Ass	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	goḍo	goḍo	g o ɖ o	kuii1252		19.2043	83.5859		1 7 1 7	AXBZ	KUTU	11	11.K.C 11.U.V 11.T.C 11.U.V	2.0 1.5 1.75 0.8	goɖo	0	10	Ass:10
56209	53_ass	Ass	GONDI	GONDI	gad’āl	gad’āl	g ʌ d̪ʰ ʌː l	sout2711		20.10446	80.27811		1 7 1 7 5	AXBYN	KETEL	3	3.K.C 3.E.V 3.T.C 3.E.V 3.L.c	2.0 1.5 1.75 1.3 0.8	gʌd̪ʰʌːl	0	10	Ass:10
56210	53_ass	Ass	TELUGU	TELUGU	gāḍidᵉ	gāḍidᵉ	g ʌː ɖ i d̪ ĕ	telu1262		16.4529	78.7024		1 7 1 7 1 7	AXBYBZ	KETITE	16	16.K.C 16.E.V 16.T.C 16.I.V 16.T.C 16.E.V	2.0 1.5 1.75 1.3 1.75 0.8	gʌːɖid̪ĕ	0	10	Ass:10
56211	53_ass	Ass	BRAHUI	BRAHUI	bīš	bīš	b iː ʃ	brah1256		29.04	66.56		1 7 3	AXN	PIS	2	2.P.C 2.I.V 2.S.c	2.0 1.5 0.8	biːʃ	0	11	Ass:11
52010	37_back	Back	TAMIL	TAMIL	mudugᵘ	mudugᵘ	m u d̪ u g ŭ	tami1289		10.520219	78.825989		4 7 1 7 1 7	AXBYBZ	MYTYKY	15	15.M.C 15.Y.V 15.T.C 15.Y.V 15.K.C 15.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	mud̪ugŭ	0	15	Back:15
52011	37_back	Back	KORAVA	KORAVA	benn	benn	b e n̪ n̪	yeru1240		17.3702	81.9748		1 7 4 4	AXLN	PENN	9	9.P.C 9.E.V 9.N.c 9.N.c	2.0 1.5 1.1 0.8	ben̪n̪	0	13	Back:13
52012	37_back	Back	KAIKADI	KAIKADI	benna	benna	b e n̪ n̪ ʌ	kaik1244		18.3859	76.0003		1 7 4 4 7	AXMBZ	PENNE	5	5.P.C 5.E.V 5.N.c 5.N.C 5.E.V	2.0 1.5 1.1 1.75 0.8	ben̪n̪ʌ	0	13	Back:13
52013	37_back	Back	MALAYALAM	MALAYALAM	mudugᵃ	mudugᵃ	m u d̪ u g ă	mala1464		9.59208	76.7651		4 7 1 7 1 7	AXBYBZ	MYTYKA	13	13.M.C 13.Y.V 13.T.C 13.Y.V 13.K.C 13.A.V	2.0 1.5 1.75 1.3 1.75 0.8	mud̪ugă	0	15	Back:15
52014	37_back	Back	KANARESE	KANARESE	bennᵘ	bennᵘ	b e n̪ n̪ ŭ	nucl1305		13.5878	76.1198		1 7 4 4 7	AXMBZ	PENNY	6	6.P.C 6.E.V 6.N.c 6.N.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	ben̪n̪ŭ	0	13	Back:13
52015	37_back	Back	BADAGA	BADAGA	bennu	bennu	b e n̪ n̪ u	bada1257		11.3094	76.5974		1 7 4 4 7	AXMBZ	PENNY	1	1.P.C 1.E.V 1.N.c 1.N.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	ben̪n̪u	0	13	Back:13
52016	37_back	Back	TULU	TULU	beri	beri	b e r i	tulu1258		12.8114	75.2651		1 7 5 7	AXBZ	PERI	18	18.P.C 18.E.V 18.R.C 18.I.V	2.0 1.5 1.75 0.8	beri	0	20	Back:20
52017	37_back	Back	TODA	TODA	uf	uf	u f	toda1252		11.4184	77.0168		7 3	XN	YB	17	17.Y.V 17.B.c	1.5 0.8	uf	0	19	Back:19
52018	37_back	Back	KURUXORORAO	KURUX_OR_ORAO	mēd	mēd	m eː d̪	kuru1302		24.4644	86.4657		4 7 1	AXN	MET	12	12.M.C 12.E.V 12.T.c	2.0 1.5 0.8	meːd̪	0	17	Back:17
52019	37_back	Back	MALTOORMALER	MALTO_OR_MALER	qoqeθ	qoqeθ	q o q e θ	kuma1274		24.1217	87.2699		1 7 1 7 3	AXBYN	KUKED	14	14.K.C 14.U.V 14.K.C 14.E.V 14.D.c	2.0 1.5 1.75 1.3 0.8	qoqeθ	0	18	Back:18
52020	37_back	Back	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	bēta	bēta	b eː t̪ ʌ	kuii1252		19.2043	83.5859		1 7 1 7	AXBZ	PETE	11	11.P.C 11.E.V 11.T.C 11.E.V	2.0 1.5 1.75 0.8	beːt̪ʌ	0	14	Back:14
52021	37_back	Back	KOLAMI	KOLAMI	vēn	vēn	v eː n̪	nort2699		20.1022	78.4934		3 7 4	AXN	BEN	8	8.B.C 8.E.V 8.N.c	2.0 1.5 0.8	veːn̪	0	16	Back:16
52022	37_back	Back	GONDI	GONDI	muṛchul	muṛchul	m u ɽ tʃ u l	sout2711		20.10446	80.27811		4 7 5 1 7 5	AXMBYN	MYRTYL	3	3.M.C 3.Y.V 3.R.c 3.T.C 3.Y.V 3.L.c	2.0 1.5 1.1 1.75 1.3 0.8	muɽtʃul	0	15	Back:15
52023	37_back	Back	TELUGU	TELUGU	bennᵘ	bennᵘ	b e n̪ n̪ ŭ	telu1262		16.4529	78.7024		1 7 4 4 7	AXMBZ	PENNY	16	16.P.C 16.E.V 16.N.c 16.N.C 16.Y.V	2.0 1.5 1.1 1.75 0.8	ben̪n̪ŭ	0	13	Back:13
52024	37_back	Back	BRAHUI	BRAHUI	b’aj	b’aj	bʰ ʌ dʒ	brah1256		29.04	66.56		1 7 1	AXN	PET	2	2.P.C 2.E.V 2.T.c	2.0 1.5 0.8	bʰʌdʒ	0	14	Back:14
36069	138_beat	Beat	TAMIL	TAMIL	aḍi	aḍi	ʌ ɖ i	tami1289		10.520219	78.825989		7 1 7	XBZ	ETI	15	15.E.V 15.T.C 15.I.V	1.5 1.75 0.8	ʌɖi	0	23	Beat:23
36070	138_beat	Beat	KORAVA	KORAVA	aḍi	aḍi	ʌ ɖ i	yeru1240		17.3702	81.9748		7 1 7	XBZ	ETI	9	9.E.V 9.T.C 9.I.V	1.5 1.75 0.8	ʌɖi	0	23	Beat:23
36071	138_beat	Beat	KAIKADI	KAIKADI	iḍ	iḍ	i ɖ	kaik1244		18.3859	76.0003		7 1	XN	IT	5	5.I.V 5.T.c	1.5 0.8	iɖ	0	24	Beat:24
