# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
#
23442	114_and	And	TAMIL	TAMIL	um	um	u m	tami1289		10.520219	78.825989	
23443	114_and	And	KORAVA	KORAVA	matt	matt	m ʌ t̪ t̪	yeru1240		17.3702	81.9748	
23444	114_and	And	KAIKADI	KAIKADI	ān	ān	ʌː n̪	kaik1244		18.3859	76.0003	
23445	114_and	And	MALAYALAM	MALAYALAM	um	um	u m	mala1464		9.59208	76.7651	
23446	114_and	And	KANARESE	KANARESE	mattᵘ	mattᵘ	m ʌ t̪ t̪ ŭ	nucl1305		13.5878	76.1198	
23447	114_and	And	BADAGA	BADAGA	u	u	u	bada1257		11.3094	76.5974	
23448	114_and	And	TULU	TULU	bokka	bokka	b o k k ʌ	tulu1258		12.8114	75.2651	
23449	114_and	And	TULU	TULU	-lā	-lā	+ l ʌː	tulu1258		12.8114	75.2651	
23450	114_and	And	TODA	TODA	-u (suffix)	-u	+ u	toda1252		11.4184	77.0168	
23451	114_and	And	KURUXORORAO	KURUX_OR_ORAO	darā	darā	d̪ ʌ r ʌː	kuru1302		24.4644	86.4657	
23452	114_and	And	MALTOORMALER	MALTO_OR_MALER	ado	ado	ʌ d̪ o	kuma1274		24.1217	87.2699	
23453	114_and	And	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	oṭē	oṭē	o ʈ eː	kuii1252		19.2043	83.5859	
23454	114_and	And	GONDI	GONDI	ānī (Aryan)	ānī	ʌː n̪ iː	sout2711		20.10446	80.27811	
23455	114_and	And	TELUGU	TELUGU	iṅkᵃ	iṅkᵃ	i ŋ k ă	telu1262		16.4529	78.7024	
23456	114_and	And	BRAHUI	BRAHUI	ō (Aryan)	ō	oː	brah1256		29.04	66.56	
#
56198	53_ass	Ass	TAMIL	TAMIL	kar̤udei	kar̤udei	k ʌ ɻ u d̪ ei	tami1289		10.520219	78.825989	
56199	53_ass	Ass	KORAVA	KORAVA	kadi	kadi	k ʌ d̪ i	yeru1240		17.3702	81.9748	
56200	53_ass	Ass	KAIKADI	KAIKADI	k’edi	k’edi	kʱ e d̪ i	kaik1244		18.3859	76.0003	
56201	53_ass	Ass	MALAYALAM	MALAYALAM	kaṛudᵃ	kaṛudᵃ	k ʌ ɽ u d̪ ă	mala1464		9.59208	76.7651	
56202	53_ass	Ass	KANARESE	KANARESE	kattᵉ	kattᵉ	k ʌ t̪ t̪ ĕ	nucl1305		13.5878	76.1198	
56203	53_ass	Ass	BADAGA	BADAGA	klatte	klatte	k l ʌ t̪ t̪ e	bada1257		11.3094	76.5974	
56204	53_ass	Ass	TULU	TULU	katte	katte	k ʌ t̪ t̪ e	tulu1258		12.8114	75.2651	
56205	53_ass	Ass	TODA	TODA	klatte	klatte	k l ʌ t̪ t̪ e	toda1252		11.4184	77.0168	
56206	53_ass	Ass	KURUXORORAO	KURUX_OR_ORAO	gad’ā (Aryan)	gad’ā	g ʌ d̪ʱ ʌː	kuru1302		24.4644	86.4657	
56207	53_ass	Ass	MALTOORMALER	MALTO_OR_MALER	gada-goṛoθ	gada-goṛoθ	g ʌ d̪ ʌ + g o ɽ o θ	kuma1274		24.1217	87.2699	
56208	53_ass	Ass	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	goḍo	goḍo	g o ɖ o	kuii1252		19.2043	83.5859	
56209	53_ass	Ass	GONDI	GONDI	gad’āl	gad’āl	g ʌ d̪ʱ ʌː l	sout2711		20.10446	80.27811	
56210	53_ass	Ass	TELUGU	TELUGU	gāḍidᵉ	gāḍidᵉ	g ʌː ɖ i d̪ ĕ	telu1262		16.4529	78.7024	
56211	53_ass	Ass	BRAHUI	BRAHUI	bīš	bīš	b iː ʃ	brah1256		29.04	66.56	
#
52010	37_back	Back	TAMIL	TAMIL	mudugᵘ	mudugᵘ	m u d̪ u g ŭ	tami1289		10.520219	78.825989	
52011	37_back	Back	KORAVA	KORAVA	benn	benn	b e n̪ n̪	yeru1240		17.3702	81.9748	
52012	37_back	Back	KAIKADI	KAIKADI	benna	benna	b e n̪ n̪ ʌ	kaik1244		18.3859	76.0003	
52013	37_back	Back	MALAYALAM	MALAYALAM	mudugᵃ	mudugᵃ	m u d̪ u g ă	mala1464		9.59208	76.7651	
52014	37_back	Back	KANARESE	KANARESE	bennᵘ	bennᵘ	b e n̪ n̪ ŭ	nucl1305		13.5878	76.1198	
52015	37_back	Back	BADAGA	BADAGA	bennu	bennu	b e n̪ n̪ u	bada1257		11.3094	76.5974	
52016	37_back	Back	TULU	TULU	beri	beri	b e r i	tulu1258		12.8114	75.2651	
52017	37_back	Back	TODA	TODA	uf	uf	u f	toda1252		11.4184	77.0168	
52018	37_back	Back	KURUXORORAO	KURUX_OR_ORAO	mēd	mēd	m eː d̪	kuru1302		24.4644	86.4657	
52019	37_back	Back	MALTOORMALER	MALTO_OR_MALER	qoqeθ	qoqeθ	q o q e θ	kuma1274		24.1217	87.2699	
52020	37_back	Back	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	bēta	bēta	b eː t̪ ʌ	kuii1252		19.2043	83.5859	
52021	37_back	Back	KOLAMI	KOLAMI	vēn	vēn	ʋ eː n̪	nort2699		20.1022	78.4934	
52022	37_back	Back	GONDI	GONDI	muṛchul	muṛchul	m u ɽ tʃ u l	sout2711		20.10446	80.27811	
52023	37_back	Back	TELUGU	TELUGU	bennᵘ	bennᵘ	b e n̪ n̪ ŭ	telu1262		16.4529	78.7024	
52024	37_back	Back	BRAHUI	BRAHUI	b’aj	b’aj	bʱ ʌ dʑ	brah1256		29.04	66.56	
#
36069	138_beat	Beat	TAMIL	TAMIL	aḍi	aḍi	ʌ ɖ i	tami1289		10.520219	78.825989	
36070	138_beat	Beat	KORAVA	KORAVA	aḍi	aḍi	ʌ ɖ i	yeru1240		17.3702	81.9748	
36071	138_beat	Beat	KAIKADI	KAIKADI	iḍ	iḍ	i ɖ	kaik1244		18.3859	76.0003	
36072	138_beat	Beat	IRULA	IRULA	aḍi	aḍi	ʌ ɖ i	irul1243		12.70645	79.95209	
36073	138_beat	Beat	MALAYALAM	MALAYALAM	aḍi	aḍi	ʌ ɖ i	mala1464		9.59208	76.7651	
36074	138_beat	Beat	KANARESE	KANARESE	hoḍe	hoḍe	h o ɖ e	nucl1305		13.5878	76.1198	
36075	138_beat	Beat	BADAGA	BADAGA	hui	hui	h u i	bada1257		11.3094	76.5974	
36076	138_beat	Beat	KODAGU	KODAGU	poy	poy	p o j	koda1255		12.2443	75.9161	
36077	138_beat	Beat	TULU	TULU	nō	nō	n̪ oː	tulu1258		12.8114	75.2651	
36078	138_beat	Beat	TODA	TODA	pui	pui	p u i	toda1252		11.4184	77.0168	
36079	138_beat	Beat	KOTA	KOTA	pui	pui	p u i	kota1263		11.4978	76.9387	
36080	138_beat	Beat	KURUXORORAO	KURUX_OR_ORAO	lau	lau	l au	kuru1302		24.4644	86.4657	
36081	138_beat	Beat	MALTOORMALER	MALTO_OR_MALER	baj	baj	b ʌ dʑ	kuma1274		24.1217	87.2699	
36082	138_beat	Beat	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	sāh	sāh	s ʌː h	kuii1252		19.2043	83.5859	
36083	138_beat	Beat	KUIKANDHIORKHOND	KUI_KANDHI_OR_KHOND	uh	uh	u h	kuii1252		19.2043	83.5859	
36084	138_beat	Beat	GONDI	GONDI	jī	jī	dʑ iː	sout2711		20.10446	80.27811	
36085	138_beat	Beat	TELUGU	TELUGU	koṭṭ	koṭṭ	k o ʈ ʈ	telu1262		16.4529	78.7024	
36086	138_beat	Beat	BRAHUI	BRAHUI	ꭓal	ꭓal	x ʌ l	brah1256		29.04	66.56	
#
21474	109_before	Before	TAMIL	TAMIL	muṉ	muṉ	m u n	tami1289		10.520219	78.825989	
21475	109_before	Before	KORAVA	KORAVA	munni	munni	m u n̪ n̪ i	yeru1240		17.3702	81.9748	
21476	109_before	Before	KAIKADI	KAIKADI	païlī	païlī	p ʌ ɪ l iː	kaik1244		18.3859	76.0003	
21477	109_before	Before	MALAYALAM	MALAYALAM	munbᵉ	munbᵉ	m u n̪ b ĕ	mala1464		9.59208	76.7651	
21478	109_before	Before	KANARESE	KANARESE	mundᵉ	mundᵉ	m u n̪ d̪ ĕ	nucl1305		13.5878	76.1198	
