ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	INFERRED_CLASS
23261	114_and	And	KHMER	KHMER	nō	nō	n̪ oː	cent1989		12.0515	105.015		4 7	AX	NU	12	12.N.C 12.U.V	2.0 1.5	n̪oː	0	1	And:1
23262	114_and	And	TALAINGWRITTEN	TALAING_WRITTEN	kuim (also)	kuim	k u i m	monn1252		15.49394	98.122465		1 7 7 4	AXYN	KYIM	22	22.K.C 22.Y.V 22.I.V 22.M.c	2.0 1.5 1.3 0.8	kuim	0	7	And:7
23265	114_and	And	PALAUNG	PALAUNG	nà	nà	n̪ a	ruma1248		23.6404	97.3172		4 7	AX	NA	16	16.N.C 16.A.V	2.0 1.5	n̪a	0	1	And:1
23266	114_and	And	PALAUNG	PALAUNG	nån	nån	n̪ ɔ n̪	ruma1248		23.6404	97.3172		4 7 4	AXN	NUN	16	16.N.C 16.U.V 16.N.c	2.0 1.5 0.8	n̪ɔn̪	0	1	And:1
23267	114_and	And	PALAUNG	PALAUNG	(also) pai	pai	p ai	ruma1248		23.6404	97.3172		1 7	AX	PA	16	16.P.C 16.A.V	2.0 1.5	pai	0	4	And:4
23269	114_and	And	WA	WA	dä (between verbs)	dä	d̪ ɛ	nucl1290		23.1024	99.108		1 7	AX	TE	24	24.T.C 24.E.V	2.0 1.5	d̪ɛ	0	5	And:5
23270	114_and	And	WA	WA	kàm (bet. nouns)	kàm	k a m	nucl1290		23.1024	99.108		1 7 4	AXN	KAM	24	24.K.C 24.A.V 24.M.c	2.0 1.5 0.8	kam	0	7	And:7
23271	114_and	And	DANAO	DANAO	nà	nà	n̪ a	dana1252		20.4957	96.998		4 7	AX	NA	3	3.N.C 3.A.V	2.0 1.5	n̪a	0	1	And:1
23272	114_and	And	KHASISTANDARD	KHASI_STANDARD	bàd	bàd	b a d̪	khas1269		24.977	91.9998		1 7 1	AXN	PAT	10	10.P.C 10.A.V 10.T.c	2.0 1.5 0.8	bad̪	0	4	And:4
23273	114_and	And	WAR	WAR	bà	bà	b a	warj1242		25.1154	91.6266		1 7	AX	PA	25	25.P.C 25.A.V	2.0 1.5	ba	0	4	And:4
23274	114_and	And	NICOBARESE	NICOBARESE	an-dīawa	an-dīawa	ʌ n̪ + d̪ iː ʌ w ʌ	cent1990		7.94812	93.3921		7 4 9 1 7 7 6 7	XN_AXYBZ	EN_TIEWE	15	15.E.V 15.N.c 15._._ 15.T.C 15.I.V 15.E.V 15.W.C 15.E.V	1.5 0.8 0.0 2.0 1.5 1.3 1.75 0.8	ʌn̪+d̪iːʌwʌ	0	6	And:6
23275	114_and	And	KHERWARISANTHALI	KHERWARI_SANTHALI	ār (Aryan)	ār	ʌː r	sant1410		25.0317	87.8185		7 5	XN	ER	11	11.E.V 11.R.c	1.5 0.8	ʌːr	0	3	And:3
23276	114_and	And	MUNDARI	MUNDARI	oṛo	oṛo	o ɽ o	mund1320		23.03	85.85		7 5 7	XBZ	URU	14	14.U.V 14.R.C 14.U.V	1.5 1.75 0.8	oɽo	0	3	And:3
23277	114_and	And	MUNDARI	MUNDARI	aᵗ	aᵗ	ʌ t̪̚	mund1320		23.03	85.85		7 1	XN	ET	14	14.E.V 14.T.c	1.5 0.8	ʌt̪̚	0	5	And:5
23278	114_and	And	KURKU	KURKU	ēṭā	ēṭā	eː ʈ ʌː	kork1243		21.8358	77.5541		7 1 7	XBZ	ETE	13	13.E.V 13.T.C 13.E.V	1.5 1.75 0.8	eːʈʌː	0	5	And:5
23279	114_and	And	KURKU	KURKU	dō	dō	d̪ oː	kork1243		21.8358	77.5541		1 7	AX	TU	13	13.T.C 13.U.V	2.0 1.5	d̪oː	0	5	And:5
23280	114_and	And	KHARIA	KHARIA	oṛo	oṛo	o ɽ o	khar1287		22.3571	84.3922		7 5 7	XBZ	URU	9	9.U.V 9.R.C 9.U.V	1.5 1.75 0.8	oɽo	0	3	And:3
23281	114_and	And	SAVARA	SAVARA	bāran	bāran	b ʌː r ʌ n̪	sora1254		19.1213	84.19		1 7 5 7 4	AXBYN	PEREN	18	18.P.C 18.E.V 18.R.C 18.E.V 18.N.c	2.0 1.5 1.75 1.3 0.8	bʌːrʌn̪	0	3	And:3
23282	114_and	And	GADABA	GADABA	miyō̃	miyō̃	m i j õː	bodo1267		18.3857	82.771		4 7 6 7	AXBZ	MIJU	6	6.M.C 6.I.V 6.J.C 6.U.V	2.0 1.5 1.75 0.8	mijõː	0	2	And:2
23283	114_and	And	GADABA	GADABA	bāhar	bāhar	b ʌː h ʌ r	bodo1267		18.3857	82.771		1 7 3 7 5	AXBYN	PEHER	6	6.P.C 6.E.V 6.H.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8	bʌːhʌr	0	9	And:9
23295	114_and	And	VIETNAMESE	VIETNAMESE	˨˩ và	˨˩ và	²¹ + ʋ a	viet1252		20.681188	105.774071		8 9 6 7	T_AX	3_WA	23	23.3.T 23._._ 23.W.C 23.A.V	1.0 0.0 1.6 3.0	²¹+ʋa	0	8	And:8
56112	53_ass	Ass	KHMER	KHMER	leà	leà	l e a	cent1989		12.0515	105.015		5 7 7	AXZ	LEA	12	12.L.C 12.E.V 12.A.V	2.0 1.5 0.8	lea	0	13	Ass:13
56113	53_ass	Ass	TALAINGWRITTEN	TALAING_WRITTEN	māai	māai	m ʌː ai	monn1252		15.49394	98.122465		4 7 7	AXZ	MEA	22	22.M.C 22.E.V 22.A.V	2.0 1.5 0.8	mʌːai	0	15	Ass:15
56115	53_ass	Ass	PALAUNG	PALAUNG	lā	lā	l ʌː	ruma1248		23.6404	97.3172		5 7	AX	LE	16	16.L.C 16.E.V	2.0 1.5	lʌː	0	13	Ass:13
56116	53_ass	Ass	DARANG	DARANG	mà-lo (mule)	mà-lo	m a + l o	ruch1235		21.6176	98.0915		4 7 9 5 7	AX_AX	MA_LU	4	4.M.C 4.A.V 4._._ 4.L.C 4.U.V	2.0 1.5 0.0 2.0 1.5	ma+lo	0	10	Ass:10
56117	53_ass	Ass	WA	WA	màruàṅ	màruàṅ	m a r u a ŋ	nucl1290		23.1024	99.108		4 7 5 7 7 4	AXBYYN	MARYAN	24	24.M.C 24.A.V 24.R.C 24.Y.V 24.A.V 24.N.c	2.0 1.5 1.75 1.3 1.3 0.8	maruaŋ	0	17	Ass:17
56118	53_ass	Ass	SON	SON	mà-lå (mule)	mà-lå	m a + l ɔ	sonn1238					4 7 9 5 7	AX_AX	MA_LU	20	20.M.C 20.A.V 20._._ 20.L.C 20.U.V	2.0 1.5 0.0 2.0 1.5	ma+lɔ	0	10	Ass:10
56119	53_ass	Ass	EN	EN	m’blåṅ-hå (mule)	m’blåṅ-hå	m b l ɔ ŋ + h ɔ	ennn1242					4 1 5 7 4 9 3 7	ACCYN_AX	MPLUN_HU	5	5.M.C 5.P.C 5.L.C 5.U.V 5.N.c 5._._ 5.H.C 5.U.V	2.0 1.5 1.5 1.3 0.8 0.0 2.0 1.5	mblɔŋ+hɔ	0	11	Ass:11
56120	53_ass	Ass	TAILOI	TAI_LOI	n’rāṅ-hå (mule)	n’rāṅ-hå	n̪̊ r ʌː ŋ + h ɔ	tail1246		21.4293	100.985		4 5 7 4 9 3 7	ACXN_AX	NREN_HU	21	21.N.C 21.R.C 21.E.V 21.N.c 21._._ 21.H.C 21.U.V	2.0 1.5 1.5 0.8 0.0 2.0 1.5	n̪̊rʌːŋ+hɔ	0	11	Ass:11
56121	53_ass	Ass	AMOK	A_MOK	m’làṅ-lå (mule)	m’làṅ-lå	m l a ŋ + l ɔ	mokk1243		18.9117	99.5821		4 5 7 4 9 5 7	ACXN_AX	MLAN_LU	1	1.M.C 1.L.C 1.A.V 1.N.c 1._._ 1.L.C 1.U.V	2.0 1.5 1.5 0.8 0.0 2.0 1.5	mlaŋ+lɔ	0	10	Ass:10
56122	53_ass	Ass	ANGKU	ANG_KU	mà-lå (mule)	mà-lå	m a + l ɔ	huuu1240		22.0163	100.881		4 7 9 5 7	AX_AX	MA_LU	2	2.M.C 2.A.V 2._._ 2.L.C 2.U.V	2.0 1.5 0.0 2.0 1.5	ma+lɔ	0	10	Ass:10
56124	53_ass	Ass	YINRIANG	YIN_RIANG	lå-là (mule)	lå-là	l ɔ + l a	rian1261		24.0521	98.8333		5 7 9 5 7	AX_AX	LU_LA	26	26.L.C 26.U.V 26._._ 26.L.C 26.A.V	2.0 1.5 0.0 2.0 1.5	lɔ+la	0	10	Ass:10
56125	53_ass	Ass	KHASISTANDARD	KHASI_STANDARD	kàddà	kàddà	k a d̪ d̪ a	khas1269		24.977	91.9998		1 7 1 1 7	AXMBZ	KATTA	10	10.K.C 10.A.V 10.T.c 10.T.C 10.A.V	2.0 1.5 1.1 1.75 0.8	kad̪d̪a	0	12	Ass:12
