# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
#
23284	114_and	And	CANTONESE	CANTONESE	˨˩ k’aᵖ	k’aᵖ˨˩	kʰ ʌ p̚ ²¹	cant1236	1577			
23296	114_and	And	PWOLITERARY	PWO_LITERARY	˧ dai	dai˧	d̪ ai ³	phra1235	1577	18.0048	99.6382	
23297	114_and	And	PWOLITERARY	PWO_LITERARY	˦ då	då˦	d̪ ɔ ⁴	phra1235	1577	18.0048	99.6382	
23298	114_and	And	PWOBASSEIN	PWO_BASSEIN	dä	dä	d̪ ɛ	pwow1235	1577	17.3622	97.7044	
23299	114_and	And	PWOMAULMEIN	PWO_MAULMEIN	dä	dä	d̪ ɛ	pwoe1235	1577	15.1915	98.7355	
23300	114_and	And	TAUNGTHU	TAUNGTHU	tǒm	tǒm	t̪ ɒ m	paok1235	1577	20.211	97.5969	
23301	114_and	And	SGALITERARY	SGA_LITERARY	˦ då°	då°˦	d̪ ɔ ⁴	sgaw1245	1577	17.9872	97.7126	
23302	114_and	And	SGASPOKEN	SGA_SPOKEN	då	då	d̪ ɔ	sgaw1245	1577	17.9872	97.7126	
23303	114_and	And	BWE	BWE	gye	gye	gʲ e	bwek1238	1577	18.9796	96.9936	
23304	114_and	And	BWE	BWE	kye (between nouns)	kye	kʲ e	bwek1238	1577	18.9796	96.9936	
23305	114_and	And	BWE	BWE	lä (bet. phrases)	lä	l ɛ	bwek1238	1577	18.9796	96.9936	
23306	114_and	And	WEWAW	WEWAW	då	då	d̪ ɔ	wewa1238	1577	19.020577	96.540526	
23307	114_and	And	KARENBYU	KARENBYU	ki	ki	k i	geba1237	1577	19.4991	96.9492	
23308	114_and	And	BRAEO	BRAEO	då	då	d̪ ɔ	geba1237	1577	19.4991	96.9492	
23309	114_and	And	KARENNI	KARENNI	nà (between nouns)	nà	n̪ a	east2342	1577	19.8939	98.3359	
23310	114_and	And	KARENNI	KARENNI	rå (bet. phrases)	rå	r ɔ	east2342	1577	19.8939	98.3359	
23311	114_and	And	GHEKO	GHEKO	då	då	d̪ ɔ	geko1235	1577	19.6741	96.5308	
