ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource
<<<<<<< HEAD
MAINGTHAORNGACHANG,MAINGTHA_OR_NGACHANG,acha1249,Longchuan Achang,acn,Eurasia,24.3479,97.7438,Sino-Tibetan,Maingθa/Ngachang
AHOM,AHOM,ahom1240,Ahom,aho,Eurasia,27.2778,88.464,Tai-Kadai,Āhom
AIMOL,AIMOL,aimo1244,Aimol,aim,Eurasia,24.6437,94.3556,Sino-Tibetan,Aimol
AKAKA,A_KA_KA,akha1245,Akha,ahk,Eurasia,21.2309,100.964,Sino-Tibetan,A-ka (Kå)
AKO,A_KO,akoo1247,Ako,,Eurasia,,,Sino-Tibetan,A-kö
ANAL,ANAL,anal1239,Anal,anm,Eurasia,24.0506,94.2806,Sino-Tibetan,Anāl
ANGAMI,ANGAMI,anga1288,Angami Naga,njm,Eurasia,25.6841,93.8668,Sino-Tibetan,Angāmi
AO,AO,aona1235,Ao Naga,njo,Eurasia,26.3241,94.3824,Sino-Tibetan,Āo
SHOORKHYANG,SHO_OR_KHYANG,asho1236,Asho Chin,csh,Eurasia,21.393,93.5069,Sino-Tibetan,Šö/K’yang
ASSAMESE,ASSAMESE,assa1263,Assamese,asm,Eurasia,26.0876,91.2932,Indo-European,Assamese
RAIORJIMDAR,RAI_OR_JIMDAR,athp1241,Athpariya,aph,Eurasia,26.8794,87.3296,Sino-Tibetan,Rai/Jimdār
AVESTAN,AVESTAN,aves1237,Avestan,ave,Eurasia,31.541,53.633,Indo-European,Avesta
EASTERNHINDIAWADHI,EASTERN_HINDI_AWADHI,awad1243,Awadhi,awa,Eurasia,27.5907,82.4663,Indo-European,"Eastern Hindī, Awad’ī"
LOLONI,LOLO_NI,axiy1235,Axi Yi,yix,Eurasia,24.6009,103.713,Sino-Tibetan,"Lolo, ˨˦Ñ^i"
MALAY,MALAY,baba1267,Baba Malay,mbf,Eurasia,1.75414,103.076,Austronesian,Malay
BADAGA,BADAGA,bada1257,Badaga,bfq,Eurasia,11.3094,76.5974,Dravidian,Baḍaga
BAGHATI,BAGHATI,bagh1249,Baghati,,Eurasia,,,Indo-European,Bag’āṭī
BAGHELI,BAGHELI,bagh1251,Bagheli,bfy,Eurasia,24.6837,87.4994,Indo-European,Bag’ēlī
BAHING,BAHING,bahi1252,Bahing,bhj,Eurasia,27.3323,86.3949,Sino-Tibetan,Bāhing
BALTI,BALTI,balt1258,Balti,bft,Eurasia,34.4491,77.2859,Sino-Tibetan,Baltī
BANAPHARI,BANAPHARI,bana1281,Banaphari,,Eurasia,,,Indo-European,Banāp’arī
RUNGCHHENBUNG,RUNGCHHENBUNG,bant1281,Bantawa,bap,Eurasia,27.12147,87.04738,Sino-Tibetan,Rūngch’ēnbūng
BASQUE,BASQUE,basq1248,Basque,eus,Eurasia,43.2787,-1.31622,Basque,Basque
BENGALIWRITTEN,BENGALI_WRITTEN,beng1280,Bengali,ben,Eurasia,24.0,90.0,Indo-European,"Bengali, written"
SOUTHWESTERNBENGALI,SOUTH_WESTERN_BENGALI,beng1280,Bengali,ben,Eurasia,24.0,90.0,Indo-European,South-western
